id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57808158,2,1564156914,2147483647,A,1600,hashing-implementation,that_anxious_shy_kid,Java 8,156,3276800
57639158,2,1563969639,2147483647,A,1600,hashing-implementation,Rohinee136,Java 8,248,3686400
57425216,2,1563652880,2147483647,A,1600,hashing-implementation,LLL.A,Java 8,156,3379200
57424200,2,1563651205,2147483647,A,1600,hashing-implementation,A.Teo,Java 8,186,3276800
57420797,2,1563646416,2147483647,A,1600,hashing-implementation,jma-moon,Java 8,216,3276800
57276542,2,1563447911,2147483647,A,1600,hashing-implementation,adeepgarg13,Java 8,186,3481600
56750353,2,1562672349,2147483647,A,1600,hashing-implementation,altynbek.nurgaziyev,Java 8,186,3276800
56628310,2,1562425272,2147483647,A,1600,hashing-implementation,Apurv107998,Java 8,248,3686400
56469291,2,1562149201,2147483647,B,2000,dp-math,gaidash,Java 8,499,49766400
56445959,2,1562093497,2147483647,C,2600,geometry,ahmed_hany232,Java 8,77,3276800
56304598,2,1561892425,2147483647,A,1600,hashing-implementation,Momen1999,Java 8,248,3686400
56304503,2,1561892202,2147483647,A,1600,hashing-implementation,Momen1999,Java 8,218,3686400
56075763,2,1561553111,2147483647,A,1600,hashing-implementation,tobitherobot,Java 8,248,3686400
56054433,2,1561499099,2147483647,A,1600,hashing-implementation,brandon71901,Java 8,184,3276800
56045148,2,1561479230,2147483647,A,1600,hashing-implementation,beykus,Java 8,248,3686400
56017264,2,1561415366,2147483647,A,1600,hashing-implementation,Jetch,Java 8,186,3276800
55921798,2,1561189477,2147483647,A,1600,hashing-implementation,insane_28,Java 8,156,3276800
55918800,2,1561185475,2147483647,B,2000,dp-math,brandon71901,Java 8,421,18841600
55180581,2,1559771343,2147483647,B,2000,dp-math,swastik_001,Java 8,452,24371200
55178287,2,1559764229,2147483647,A,1600,hashing-implementation,jacobphicks,Java 8,248,3686400
54644281,2,1558821792,2147483647,B,2000,dp-math,dmitrievanthony,Java 8,248,11468800
54448449,2,1558441653,2147483647,B,2000,dp-math,Brownshome,Java 8,405,26624000
54371346,2,1558248133,2147483647,B,2000,dp-math,Newtear,Java 8,888,62668800
54275433,2,1558090563,2147483647,A,1600,hashing-implementation,robin7407,Java 8,248,3686400
54223682,2,1557983300,2147483647,A,1600,hashing-implementation,pd_1710,Java 8,248,3686400
53936409,2,1557439661,2147483647,B,2000,dp-math,Verdusk,Java 8,405,11468800
53888030,2,1557345867,2147483647,A,1600,hashing-implementation,pankaj182,Java 8,218,3686400
53825658,2,1557158121,2147483647,A,1600,hashing-implementation,Ahmed-Hassan,Java 8,216,3686400
53730533,2,1556953114,2147483647,C,2600,geometry,jagmeet787,Java 8,93,3276800
53669627,2,1556800203,2147483647,A,1600,hashing-implementation,Taran_1407,Java 8,218,3686400
53537783,2,1556597186,2147483647,A,1600,hashing-implementation,ZcesYc,Java 8,216,3686400
53537668,2,1556596792,2147483647,A,1600,hashing-implementation,ZcesYc,Java 8,218,3686400
53463389,2,1556440740,2147483647,A,1600,hashing-implementation,moutsm,Java 8,310,4403200
52904015,2,1555502697,2147483647,A,1600,hashing-implementation,WuZei,Java 8,218,3686400
52861459,2,1555431460,2147483647,A,1600,hashing-implementation,manikasharma09,Java 8,248,3686400
52631869,2,1555054499,2147483647,A,1600,hashing-implementation,ninelies,Java 8,218,3686400
52509498,2,1554757708,2147483647,B,2000,dp-math,cxsy,Java 8,1450,6758400
52428282,2,1554582569,2147483647,A,1600,hashing-implementation,tarek7889,Java 8,186,3276800
52375888,2,1554538412,2147483647,A,1600,hashing-implementation,2018de,Java 8,218,3686400
52375824,2,1554538338,2147483647,A,1600,hashing-implementation,2018de,Java 8,218,3686400
52366669,2,1554517684,2147483647,A,1600,hashing-implementation,2018de,Java 8,218,3686400
52366624,2,1554517511,2147483647,A,1600,hashing-implementation,2018de,Java 8,216,3686400
52236844,2,1554213967,2147483647,A,1600,hashing-implementation,orwinmc,Java 8,248,3686400
51872004,2,1553622597,2147483647,A,1600,hashing-implementation,charishma_610,Java 8,248,3686400
51844951,2,1553571440,2147483647,A,1600,hashing-implementation,jessicatrana,Java 8,186,3276800
51658857,2,1553215005,2147483647,A,1600,hashing-implementation,Rwelk,Java 8,248,3686400
51652706,2,1553196951,2147483647,A,1600,hashing-implementation,jcazalas,Java 8,186,3379200
51648737,2,1553190613,2147483647,A,1600,hashing-implementation,trillionaire,Java 8,186,3686400
51561318,2,1553069027,2147483647,A,1600,hashing-implementation,fdesu,Java 8,186,3481600
51468946,2,1552971198,2147483647,C,2600,geometry,skateight,Java 8,108,3276800
51456492,2,1552929580,2147483647,A,1600,hashing-implementation,mennafadali,Java 8,186,3276800
51365212,2,1552727694,2147483647,B,2000,dp-math,vaibhavpulastya,Java 8,280,24371200
51245599,2,1552452468,2147483647,A,1600,hashing-implementation,skateight,Java 8,280,3993600
51231384,2,1552407971,2147483647,A,1600,hashing-implementation,sawqe1,Java 8,218,3686400
50791662,2,1551715363,2147483647,A,1600,hashing-implementation,trungdunghoang92,Java 8,218,3686400
50593200,2,1551343249,2147483647,A,1600,hashing-implementation,goalboy,Java 8,342,4096000
50297193,2,1550785077,2147483647,A,1600,hashing-implementation,parthsingh287,Java 8,218,3686400
50261503,2,1550711834,2147483647,A,1600,hashing-implementation,thanhnam.csc,Java 8,218,3686400
50053809,2,1550395038,2147483647,A,1600,hashing-implementation,rmusiy,Java 8,310,3993600
49822252,2,1549963949,2147483647,B,2000,dp-math,awasd,Java 8,311,22528000
49667641,2,1549725178,2147483647,A,1600,hashing-implementation,lyaminans,Java 8,248,3686400
49610165,2,1549580777,2147483647,A,1600,hashing-implementation,Atharvar,Java 8,218,3686400
49610143,2,1549580669,2147483647,B,2000,dp-math,Atharvar,Java 8,389,24371200
49543071,2,1549482227,2147483647,B,2000,dp-math,iitiansam,Java 8,1403,11468800
49491272,2,1549360944,2147483647,A,1600,hashing-implementation,udjindal,Java 8,248,3686400
49235124,2,1548920172,2147483647,A,1600,hashing-implementation,WeedWizard,Java 8,248,3686400
49163744,2,1548776765,2147483647,B,2000,dp-math,D.K.B,Java 8,1388,11264000
48987057,2,1548506815,2147483647,B,2000,dp-math,Vishal_dhanani,Java 8,1372,11366400
48939652,2,1548431593,2147483647,B,2000,dp-math,Zaphyr,Java 8,1387,11468800
48892477,2,1548340328,2147483647,A,1600,hashing-implementation,jota.ch2010,Java 8,278,3788800
48864427,2,1548295075,2147483647,B,2000,dp-math,introibo,Java 8,405,11571200
48864060,2,1548293919,2147483647,B,2000,dp-math,introibo,Java 8,421,11571200
48863916,2,1548293527,2147483647,B,2000,dp-math,introibo,Java 8,405,11571200
48490196,2,1547720875,2147483647,A,1600,hashing-implementation,xpray,Java 8,248,3686400
48265545,2,1547236537,2147483647,A,1600,hashing-implementation,divyn,Java 8,280,3686400
47513903,2,1545813206,2147483647,A,1600,hashing-implementation,Hasib_Ullah,Java 8,186,3276800
47502119,2,1545763247,2147483647,A,1600,hashing-implementation,Verdusk,Java 8,218,3686400
47502105,2,1545763208,2147483647,A,1600,hashing-implementation,Verdusk,Java 8,248,3686400
47394519,2,1545560422,2147483647,A,1600,hashing-implementation,chojh1222,Java 8,186,3174400
47394354,2,1545560048,2147483647,A,1600,hashing-implementation,chojh1222,Java 8,186,3174400
47307681,2,1545327850,2147483647,A,1600,hashing-implementation,aps554,Java 8,218,3686400
47177643,2,1545071207,2147483647,B,2000,dp-math,blackrise,Java 8,296,23244800
47076110,2,1544893978,2147483647,A,1600,hashing-implementation,sobx41,Java 8,310,3686400
47075765,2,1544893633,2147483647,A,1600,hashing-implementation,sobx41,Java 8,216,3276800
47074175,2,1544892368,2147483647,A,1600,hashing-implementation,sobx41,Java 8,248,3686400
47072362,2,1544891349,2147483647,A,1600,hashing-implementation,sobx41,Java 8,342,3993600
46894959,2,1544517671,2147483647,A,1600,hashing-implementation,nawa410,Java 8,186,3481600
46550424,2,1543858191,2147483647,B,2000,dp-math,ViciousCoder,Java 8,280,24268800
46532696,2,1543820122,2147483647,A,1600,hashing-implementation,drinkdrankdrunk,Java 8,248,3686400
46505683,2,1543748954,2147483647,A,1600,hashing-implementation,viratK,Java 8,186,3276800
46350579,2,1543439771,2147483647,A,1600,hashing-implementation,p_unit,Java 8,186,3174400
46290211,2,1543345506,2147483647,A,1600,hashing-implementation,rishz,Java 8,186,3174400
46090626,2,1542914538,2147483647,A,1600,hashing-implementation,Punit_sharma,Java 8,216,3379200
46090086,2,1542913916,2147483647,A,1600,hashing-implementation,anony9906,Java 8,216,3379200
45671712,2,1542106968,2147483647,B,2000,dp-math,lambooze,Java 8,498,62668800
45545115,2,1541891145,2147483647,A,1600,hashing-implementation,abderra,Java 8,218,3686400
45545047,2,1541890813,2147483647,A,1600,hashing-implementation,abderra,Java 8,218,3686400
45538236,2,1541871544,2147483647,A,1600,hashing-implementation,iteb24,Java 8,218,3686400
45486177,2,1541783721,2147483647,A,1600,hashing-implementation,vjudge5,Java 8,248,3686400
45462480,2,1541729797,2147483647,A,1600,hashing-implementation,shivam_24,Java 8,218,3686400
45459047,2,1541714720,2147483647,A,1600,hashing-implementation,vjudge5,Java 8,248,3686400
45433818,2,1541658866,2147483647,A,1600,hashing-implementation,vjudge2,Java 8,218,3891200
45385462,2,1541524802,2147483647,A,1600,hashing-implementation,jnisac,Java 8,216,3686400
45206459,2,1541163608,2147483647,B,2000,dp-math,Magdiragdag,Java 8,1434,24985600
45161199,2,1541063493,2147483647,B,2000,dp-math,Srinivasa_Ramanujan,Java 8,311,24166400
45161156,2,1541063426,2147483647,B,2000,dp-math,Srinivasa_Ramanujan,Java 8,311,24064000
45157444,2,1541048310,2147483647,A,1600,hashing-implementation,vjudge4,Java 8,342,3993600
44998786,2,1540741416,2147483647,B,2000,dp-math,iabestever,Java 8,1716,62976000
44876263,2,1540487549,2147483647,B,2000,dp-math,ravi_dtu,Java 8,1418,62566400
44657030,2,1540128450,2147483647,A,1600,hashing-implementation,RDmitriyS,Java 8,218,3686400
