id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
56072764,159,1561547981,2147483647,B,1800,*special-greedy-sortings,echikawa,Java 8,1090,4403200
56072090,159,1561546819,2147483647,B,1800,*special-greedy-sortings,echikawa,Java 8,1060,6451200
56067507,159,1561538581,2147483647,B,1800,*special-greedy-sortings,gaidash,Java 8,280,0
54909403,159,1559384584,2147483647,D,2000,*special-brute force-dp-strings,dmitrievanthony,Java 8,1152,106803200
53974676,159,1557542988,2147483647,D,2000,*special-brute force-dp-strings,Verdusk,Java 8,436,38604800
53732995,159,1556957244,2147483647,B,1800,*special-greedy-sortings,mennafadali,Java 8,530,3174400
53195447,159,1556031651,2147483647,B,1800,*special-greedy-sortings,zhongzh13,Java 8,966,4403200
51963339,159,1553848093,2147483647,D,2000,*special-brute force-dp-strings,bhautik_77,Java 8,1590,239820800
51622278,159,1553180282,2147483647,D,2000,*special-brute force-dp-strings,lixx336,Java 8,280,0
51360410,159,1552719420,2147483647,B,1800,*special-greedy-sortings,Vaibhav96,Java 8,1308,2457600
51128020,159,1552221205,2147483647,B,1800,*special-greedy-sortings,AWCXV,Java 8,404,1945600
50143460,159,1550538476,2147483647,D,2000,*special-brute force-dp-strings,zhongzh13,Java 8,342,0
49638068,159,1549655258,2147483647,D,2000,*special-brute force-dp-strings,iitiansam,Java 8,280,0
47440004,159,1545606474,2147483647,D,2000,*special-brute force-dp-strings,Kharouba,Java 8,248,0
46629022,159,1543970499,2147483647,D,2000,*special-brute force-dp-strings,flyman3046,Java 8,280,0
46628288,159,1543966424,2147483647,D,2000,*special-brute force-dp-strings,flyman3046,Java 8,686,0
46464615,159,1543712578,2147483647,D,2000,*special-brute force-dp-strings,BiIIy,Java 8,248,0
46044781,159,1542845576,2147483647,B,1800,*special-greedy-sortings,ViciousCoder,Java 8,342,2560000
44421249,159,1539730648,2147483647,C,2000,*special-binary search-brute force-data structures-strings,ViciousCoder,Java 8,436,39321600
43932187,159,1538898409,2147483647,C,2000,*special-binary search-brute force-data structures-strings,onetwothree,Java 8,1402,17715200
43362621,159,1537784917,2147483647,B,1800,*special-greedy-sortings,ShowStopper728,Java 8,310,0
43362540,159,1537784701,2147483647,B,1800,*special-greedy-sortings,ShowStopper728,Java 8,310,0
43362474,159,1537784632,2147483647,B,1800,*special-greedy-sortings,ShowStopper728,Java 8,310,0
42740979,159,1536596092,2147483647,D,2000,*special-brute force-dp-strings,Nesrin,Java 8,310,0
42377039,159,1535900559,2147483647,E,2100,*special-data structures-greedy-sortings,hongquanntct,Java 8,389,16076800
42357631,159,1535881337,2147483647,D,2000,*special-brute force-dp-strings,hongquanntct,Java 8,1184,93388800
42357061,159,1535880270,2147483647,D,2000,*special-brute force-dp-strings,hongquanntct,Java 8,1466,93900800
40929529,159,1532902417,2147483647,C,2000,*special-binary search-brute force-data structures-strings,prabhat236218,Java 8,998,166092800
40719189,159,1532472425,2147483647,D,2000,*special-brute force-dp-strings,Hoda_Hisham,Java 8,342,4710400
39463810,159,1529588468,2147483647,A,1700,*special-greedy-implementation,ashcodish,Java 8,342,0
39044701,159,1528458129,2147483647,C,2000,*special-binary search-brute force-data structures-strings,kanak893,Java 8,372,32768000
39044508,159,1528457717,2147483647,C,2000,*special-binary search-brute force-data structures-strings,kanak893,Java 8,372,32768000
39042326,159,1528452492,2147483647,C,2000,*special-binary search-brute force-data structures-strings,kanak893,Java 8,1184,0
38937618,159,1528098291,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Golmol,Java 8,466,20582400
38329986,159,1526494692,2147483647,B,1800,*special-greedy-sortings,KulikAlex,Java 8,902,26726400
38147937,159,1526157721,2147483647,C,2000,*special-binary search-brute force-data structures-strings,reyad,Java 8,654,40140800
38147889,159,1526157459,2147483647,C,2000,*special-binary search-brute force-data structures-strings,reyad,Java 8,654,40140800
38147848,159,1526157248,2147483647,C,2000,*special-binary search-brute force-data structures-strings,reyad,Java 8,654,40140800
38121443,159,1526063514,2147483647,D,2000,*special-brute force-dp-strings,KulikAlex,Java 8,278,20684800
38114508,159,1526042918,2147483647,C,2000,*special-binary search-brute force-data structures-strings,reyad,Java 8,840,169472000
37926536,159,1525604139,2147483647,D,2000,*special-brute force-dp-strings,DevilJin,Java 8,310,20684800
36775299,159,1522503212,2147483647,E,2100,*special-data structures-greedy-sortings,Kammola,Java 8,1216,89702400
36388511,159,1521376593,2147483647,B,1800,*special-greedy-sortings,ashcodish,Java 8,1278,21094400
35925789,159,1520174587,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,248,20684800
35913159,159,1520152690,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,374,39731200
35913142,159,1520152620,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,372,39731200
35912992,159,1520152243,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,374,40140800
35909875,159,1520149129,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,716,100352000
35909095,159,1520147796,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,716,100352000
35909003,159,1520147483,2147483647,D,2000,*special-brute force-dp-strings,SrapZark,Java 8,716,100556800
34479286,159,1516706137,2147483647,C,2000,*special-binary search-brute force-data structures-strings,prabhat236218,Java 8,372,60928000
33233992,159,1513240593,2147483647,D,2000,*special-brute force-dp-strings,onkarN,Java 8,2368,94310400
32332599,159,1510751483,2147483647,D,2000,*special-brute force-dp-strings,onetwothree,Java 8,310,0
31876424,159,1509307538,2147483647,A,1700,*special-greedy-implementation,Kammola,Java 8,248,0
31865292,159,1509277515,2147483647,D,2000,*special-brute force-dp-strings,jay321,Java 8,310,18124800
30010873,159,1504349405,2147483647,D,2000,*special-brute force-dp-strings,flydzt,Java 8,280,0
29551203,159,1503051527,2147483647,D,2000,*special-brute force-dp-strings,Maulik_Patel,Java 8,280,0
29374960,159,1502534180,2147483647,D,2000,*special-brute force-dp-strings,prakhar28,Java 8,498,38809600
29307603,159,1502287649,2147483647,C,2000,*special-binary search-brute force-data structures-strings,bhishma,Java 8,436,24985600
28773939,159,1500713326,2147483647,B,1800,*special-greedy-sortings,Bitway,Java 8,374,27648000
28152193,159,1498754941,2147483647,D,2000,*special-brute force-dp-strings,vaibhav28,Java 8,248,20480000
27873596,159,1497748227,2147483647,A,1700,*special-greedy-implementation,alihashem,Java 8,560,0
27550736,159,1496516489,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Ajudiya_13,Java 8,2340,0
27476404,159,1496283952,2147483647,A,1700,*special-greedy-implementation,Ebraheem95,Java 8,310,0
27449724,159,1496153168,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Maulik_Patel,Java 8,1528,10854400
27191320,159,1495089325,2147483647,A,1700,*special-greedy-implementation,bhishma,Java 8,342,0
27106601,159,1494765308,2147483647,D,2000,*special-brute force-dp-strings,dhruvil_1bhuptani,Java 8,498,39833600
26413710,159,1492348695,2147483647,C,2000,*special-binary search-brute force-data structures-strings,zodiacleo,Java 8,2682,23142400
26233622,159,1491729525,2147483647,D,2000,*special-brute force-dp-strings,Kammola,Java 8,248,20582400
26077073,159,1491133806,2147483647,D,2000,*special-brute force-dp-strings,ChajkaMaksim,Java 8,2212,20889600
26066404,159,1491089836,2147483647,D,2000,*special-brute force-dp-strings,Andrew666,Java 8,2212,20889600
25676843,159,1490044476,2147483647,E,2100,*special-data structures-greedy-sortings,pitfall,Java 8,373,39014400
25676498,159,1490042901,2147483647,C,2000,*special-binary search-brute force-data structures-strings,pitfall,Java 8,590,27340800
25676323,159,1490042187,2147483647,D,2000,*special-brute force-dp-strings,pitfall,Java 8,218,20582400
25274144,159,1488748001,2147483647,A,1700,*special-greedy-implementation,pitfall,Java 8,466,20582400
24470534,159,1486392642,2147483647,C,2000,*special-binary search-brute force-data structures-strings,AJ_Coder,Java 8,434,59392000
23786652,159,1484317694,2147483647,D,2000,*special-brute force-dp-strings,Ahmad_Elsagheer,Java 8,310,20275200
23786572,159,1484317435,2147483647,D,2000,*special-brute force-dp-strings,Ahmad_Elsagheer,Java 8,466,61440000
23416807,159,1483092617,2147483647,D,2000,*special-brute force-dp-strings,bhishma,Java 8,310,20582400
23398950,159,1483015175,2147483647,D,2000,*special-brute force-dp-strings,rahulkhairwar,Java 8,2308,20582400
23398640,159,1483014153,2147483647,D,2000,*special-brute force-dp-strings,rahulkhairwar,Java 8,2276,20684800
22184827,159,1478985905,2147483647,C,2000,*special-binary search-brute force-data structures-strings,MDL,Java 8,310,17715200
21774779,159,1477409896,2147483647,D,2000,*special-brute force-dp-strings,MDL,Java 8,248,0
21707710,159,1477218478,2147483647,C,2000,*special-binary search-brute force-data structures-strings,dhruvil_1bhuptani,Java 8,2214,0
21386537,159,1476289025,2147483647,D,2000,*special-brute force-dp-strings,rudrakh97,Java 8,436,38707200
21325566,159,1476040588,2147483647,D,2000,*special-brute force-dp-strings,Soumendu.Sinha,Java 8,278,20172800
21014295,159,1475239718,2147483647,D,2000,*special-brute force-dp-strings,prateek1985,Java 8,590,39116800
20930518,159,1474909641,2147483647,B,1800,*special-greedy-sortings,da_201501181,Java 8,436,5017600
20923843,159,1474889049,2147483647,A,1700,*special-greedy-implementation,dhruvil_1bhuptani,Java 8,404,0
20923218,159,1474886507,2147483647,B,1800,*special-greedy-sortings,dhruvil_1bhuptani,Java 8,310,5017600
20551915,159,1473694719,2147483647,D,2000,*special-brute force-dp-strings,Corvus,Java 8,434,16998400
20477741,159,1473422961,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Corvus,Java 8,466,100352000
19928583,159,1471442281,2147483647,B,1800,*special-greedy-sortings,mariem_kandil,Java 8,404,27545600
19911608,159,1471365768,2147483647,C,2000,*special-binary search-brute force-data structures-strings,grover_irusta,Java 8,2588,23040000
19651744,159,1470400848,2147483647,C,2000,*special-binary search-brute force-data structures-strings,grover_irusta,Java 8,2992,23040000
19642833,159,1470368037,2147483647,B,1800,*special-greedy-sortings,Kharouba,Java 8,372,20582400
19637127,159,1470332446,2147483647,B,1800,*special-greedy-sortings,Ahmed.Shawky,Java 8,716,38195200
19600091,159,1470235679,2147483647,B,1800,*special-greedy-sortings,Amr_Ayman,Java 8,872,6246400
19599239,159,1470232924,2147483647,B,1800,*special-greedy-sortings,Minaa,Java 8,560,0
18932616,159,1467828536,2147483647,D,2000,*special-brute force-dp-strings,arrrhh,Java 8,496,38809600
18752203,159,1467030675,2147483647,C,2000,*special-binary search-brute force-data structures-strings,i_Love_Jaiman,Java 8,1652,0
18633745,159,1466528315,2147483647,D,2000,*special-brute force-dp-strings,i_Love_Jaiman,Java 8,1934,63692800
18616978,159,1466437980,2147483647,B,1800,*special-greedy-sortings,Hoda_Hisham,Java 8,374,0
18616182,159,1466434831,2147483647,B,1800,*special-greedy-sortings,mona_hashem,Java 8,1714,0
18332143,159,1465427222,2147483647,D,2000,*special-brute force-dp-strings,frktry,Java 7,218,39116800
18230548,159,1464954026,2147483647,B,1800,*special-greedy-sortings,Omar_Kojak,Java 8,528,27750400
18175225,159,1464733274,2147483647,B,1800,*special-greedy-sortings,alaa_megahed,Java 8,466,20787200
18175071,159,1464731213,2147483647,B,1800,*special-greedy-sortings,alaa_megahed,Java 8,466,20787200
18174976,159,1464730667,2147483647,B,1800,*special-greedy-sortings,alaa_megahed,Java 8,528,20787200
18157345,159,1464613466,2147483647,B,1800,*special-greedy-sortings,biba96,Java 8,530,20684800
18151818,159,1464563703,2147483647,B,1800,*special-greedy-sortings,hady1100,Java 8,530,20684800
18150287,159,1464547149,2147483647,B,1800,*special-greedy-sortings,ahmed_helmy,Java 8,530,20787200
18148731,159,1464536000,2147483647,B,1800,*special-greedy-sortings,Imaginary,Java 8,872,27136000
18148608,159,1464535055,2147483647,B,1800,*special-greedy-sortings,mohamedazab,Java 8,590,20684800
18148136,159,1464532054,2147483647,B,1800,*special-greedy-sortings,Minaa,Java 8,560,20684800
18144294,159,1464516421,2147483647,B,1800,*special-greedy-sortings,Omar_Morsi,Java 8,498,20480000
18144232,159,1464516173,2147483647,B,1800,*special-greedy-sortings,AhmedSoliman,Java 8,560,34406400
18144223,159,1464516137,2147483647,B,1800,*special-greedy-sortings,Omar_Morsi,Java 8,404,20480000
17933713,159,1463413504,2147483647,B,1800,*special-greedy-sortings,Ahmad_Elsagheer,Java 8,498,20992000
17933640,159,1463413154,2147483647,B,1800,*special-greedy-sortings,Ahmad_Elsagheer,Java 8,530,21094400
17323081,159,1460702994,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Nirmit,Java 7,1184,614400
17189968,159,1459952221,2147483647,D,2000,*special-brute force-dp-strings,abhishek125,Java 8,2120,20889600
16836715,159,1458472571,2147483647,D,2000,*special-brute force-dp-strings,videogamez,Java 8,342,39936000
16306452,159,1456307819,2147483647,C,2000,*special-binary search-brute force-data structures-strings,mag20174301,Java 8,2682,0
16194109,159,1455865048,2147483647,D,2000,*special-brute force-dp-strings,mag20174301,Java 8,372,12083200
15782969,159,1454571248,2147483647,B,1800,*special-greedy-sortings,AJ_Coder,Java 7,1402,0
15230604,159,1452204209,2147483647,A,1700,*special-greedy-implementation,user__name,Java 8,404,0
15169710,159,1451832998,2147483647,A,1700,*special-greedy-implementation,cellist,Java 8,342,0
14932186,159,1450834993,2147483647,D,2000,*special-brute force-dp-strings,Phicar,Java 7,312,0
14856666,159,1450414699,2147483647,D,2000,*special-brute force-dp-strings,dhrumil140396,Java 8,310,11468800
14847321,159,1450363456,2147483647,D,2000,*special-brute force-dp-strings,Sumeet.Varma,Java 8,218,0
14636088,159,1449157113,2147483647,D,2000,*special-brute force-dp-strings,Nirmit,Java 8,2058,0
14439360,159,1448369463,2147483647,D,2000,*special-brute force-dp-strings,Sehnsucht,Java 7,218,0
14439216,159,1448368809,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Sehnsucht,Java 7,372,0
14176971,159,1447100555,2147483647,C,2000,*special-binary search-brute force-data structures-strings,omarnvidia,Java 7,1276,8089600
14174890,159,1447089368,2147483647,A,1700,*special-greedy-implementation,omarnvidia,Java 7,310,0
13915153,159,1446037843,2147483647,A,1700,*special-greedy-implementation,Mantree,Java 8,434,0
13236445,159,1443272664,2147483647,D,2000,*special-brute force-dp-strings,biswajitdebnath8,Java 7,218,14233600
13076208,159,1442523472,2147483647,D,2000,*special-brute force-dp-strings,ddragomir01,Java 8,404,21299200
12899005,159,1441722855,2147483647,A,1700,*special-greedy-implementation,Pablo_alexis,Java 8,404,0
12898997,159,1441722833,2147483647,A,1700,*special-greedy-implementation,Pablo_alexis,Java 8,436,0
12817327,159,1441207896,2147483647,A,1700,*special-greedy-implementation,Gendo.,Java 7,310,0
12768839,159,1440895132,2147483647,A,1700,*special-greedy-implementation,Lonjinus,Java 7,218,0
12735908,159,1440793588,2147483647,D,2000,*special-brute force-dp-strings,Phuepe,Java 7,248,0
12730112,159,1440759523,2147483647,D,2000,*special-brute force-dp-strings,JPaulsen,Java 7,1590,148480000
12679158,159,1440385279,2147483647,A,1700,*special-greedy-implementation,wizerwolf,Java 8,466,0
12385050,159,1438850287,2147483647,D,2000,*special-brute force-dp-strings,.tx,Java 8,248,0
12309073,159,1438479647,2147483647,B,1800,*special-greedy-sortings,.tx,Java 8,436,0
11657181,159,1434659531,2147483647,C,2000,*special-binary search-brute force-data structures-strings,Sumeet.Varma,Java 7,280,0
11534792,159,1434034679,2147483647,D,2000,*special-brute force-dp-strings,LuuNhatPhi,Java 7,248,0
11406644,159,1433362575,2147483647,E,2100,*special-data structures-greedy-sortings,sweiss,Java 8,374,41267200
11405977,159,1433357292,2147483647,C,2000,*special-binary search-brute force-data structures-strings,sweiss,Java 8,280,0
11392151,159,1433258662,2147483647,A,1700,*special-greedy-implementation,sweiss,Java 8,248,0
11391907,159,1433257353,2147483647,D,2000,*special-brute force-dp-strings,sweiss,Java 8,248,0
11391233,159,1433254082,2147483647,B,1800,*special-greedy-sortings,sweiss,Java 8,560,0
11258223,159,1432498406,2147483647,C,2000,*special-binary search-brute force-data structures-strings,tempTest1,Java 7,466,0
11253730,159,1432469510,2147483647,C,2000,*special-binary search-brute force-data structures-strings,tempTest1,Java 7,2058,0
11170195,159,1432071506,2147483647,C,2000,*special-binary search-brute force-data structures-strings,thocevar,Java 7,312,0
11170165,159,1432071327,2147483647,C,2000,*special-binary search-brute force-data structures-strings,thocevar,Java 7,434,0
11060265,159,1431238519,2147483647,D,2000,*special-brute force-dp-strings,PTNK13091996,Java 8,342,21196800
10820859,159,1429697158,2147483647,E,2100,*special-data structures-greedy-sortings,alibaba,Java 8,452,44236800
10601806,159,1428238070,2147483647,B,1800,*special-greedy-sortings,turmoil,Java 8,372,0
10538354,159,1427861816,2147483647,A,1700,*special-greedy-implementation,poikniok,Java 8,310,0
10514446,159,1427626206,2147483647,B,1800,*special-greedy-sortings,georgy.ivanov,Java 8,372,0
10510163,159,1427593260,2147483647,A,1700,*special-greedy-implementation,omarnvidia,Java 7,280,0
10341860,159,1426704292,2147483647,D,2000,*special-brute force-dp-strings,poikniok,Java 8,312,0
10223425,159,1425962401,2147483647,D,2000,*special-brute force-dp-strings,biltharesatyendra,Java 8,310,11059200
10119917,159,1425304921,2147483647,A,1700,*special-greedy-implementation,RokS,Java 7,280,0
9956881,159,1424588659,2147483647,B,1800,*special-greedy-sortings,vjudge2,Java 7,1184,0
9956870,159,1424588617,2147483647,B,1800,*special-greedy-sortings,vjudge3,Java 7,1214,0
9956869,159,1424588615,2147483647,B,1800,*special-greedy-sortings,vjudge5,Java 7,310,0
9637687,159,1422684682,2147483647,C,2000,*special-binary search-brute force-data structures-strings,tomdmitriev,Java 8,560,0
9503406,159,1421938822,2147483647,D,2000,*special-brute force-dp-strings,AIDOS,Java 8,310,10752000
9487735,159,1421783966,2147483647,B,1800,*special-greedy-sortings,AIDOS,Java 8,404,0
9439713,159,1421372044,2147483647,B,1800,*special-greedy-sortings,poikniok,Java 8,404,0
9280517,159,1419653926,2147483647,D,2000,*special-brute force-dp-strings,darsh,Java 7,404,13926400
9213407,159,1419148011,2147483647,A,1700,*special-greedy-implementation,stevegregg,Java 6,310,0
8805616,159,1416680964,2147483647,B,1800,*special-greedy-sortings,makhlas,Java 7,1184,102400
8762041,159,1416472725,2147483647,C,2000,*special-binary search-brute force-data structures-strings,GhpS,Java 7,186,0
8632234,159,1415633580,2147483647,D,2000,*special-brute force-dp-strings,fillets,Java 7,218,0
8547960,159,1415111882,2147483647,E,2100,*special-data structures-greedy-sortings,qingwen,Java 7,234,14336000
8347077,159,1413938771,2147483647,B,1800,*special-greedy-sortings,stevegregg,Java 6,466,512000
8337357,159,1413866450,2147483647,A,1700,*special-greedy-implementation,MachineBio,Java 7,278,307200
8165185,159,1412943137,2147483647,B,1800,*special-greedy-sortings,dcr,Java 8,652,1843200
8063097,159,1412281962,2147483647,A,1700,*special-greedy-implementation,NoCakeNoCode,Java 7,404,102400
7956739,159,1411735759,2147483647,B,1800,*special-greedy-sortings,GasDuracell,Java 8,622,2048000
7812950,159,1410897840,2147483647,B,1800,*special-greedy-sortings,baggi,Java 8,592,2048000
7807299,159,1410857036,2147483647,B,1800,*special-greedy-sortings,Kida,Java 8,686,2048000
7148936,159,1405687116,2147483647,A,1700,*special-greedy-implementation,owenomar,Java 7,374,102400
7120172,159,1405567914,2147483647,D,2000,*special-brute force-dp-strings,trunghieu11,Java 7,186,0
7014320,159,1404543596,2147483647,E,2100,*special-data structures-greedy-sortings,I_love_Malika,Java 7,171,409600
6974052,159,1403944425,2147483647,D,2000,*special-brute force-dp-strings,monsterspy,Java 7,2026,0
6968788,159,1403863143,2147483647,D,2000,*special-brute force-dp-strings,vamshiiisc,Java 7,310,0
6646590,159,1400375883,2147483647,D,2000,*special-brute force-dp-strings,vvenkai,Java 7,154,0
