id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57124544,113,1563247561,2147483647,B,1900,brute force-data structures-hashing-strings,vjudge4,Java 8,716,55091200
57124462,113,1563247392,2147483647,B,1900,brute force-data structures-hashing-strings,Smurferino,Java 8,654,55193600
55554809,113,1560503960,2147483647,B,1900,brute force-data structures-hashing-strings,mennafadali,Java 8,1216,258662400
53081534,113,1555829286,2147483647,A,1600,implementation-strings,foolalex,Java 8,342,0
52807645,113,1555395467,2147483647,A,1600,implementation-strings,a910456728,Java 8,312,0
52750252,113,1555249220,2147483647,A,1600,implementation-strings,Verdusk,Java 8,310,0
51198592,113,1552337587,2147483647,A,1600,implementation-strings,mandark27,Java 8,248,0
47812305,113,1546344674,2147483647,A,1600,implementation-strings,adityagupta1089,Java 8,248,0
43598981,113,1538298123,2147483647,B,1900,brute force-data structures-hashing-strings,hongquanntct,Java 8,872,17715200
43598727,113,1538297687,2147483647,B,1900,brute force-data structures-hashing-strings,hongquanntct,Java 8,1122,40345600
42746816,113,1536609665,2147483647,B,1900,brute force-data structures-hashing-strings,KulikAlex,Java 8,436,17408000
39495660,113,1529601612,2147483647,A,1600,implementation-strings,KulikAlex,Java 8,280,0
36371257,113,1521319221,2147483647,A,1600,implementation-strings,ShafinKhadem,Java 8,310,20684800
35470604,113,1519044400,2147483647,A,1600,implementation-strings,parth_15,Java 8,280,20684800
34715545,113,1517329898,2147483647,A,1600,implementation-strings,panzerkitsch,Java 8,342,21299200
32776629,113,1511948055,2147483647,A,1600,implementation-strings,tomdmitriev,Java 8,248,20684800
32753161,113,1511878848,2147483647,B,1900,brute force-data structures-hashing-strings,tomdmitriev,Java 8,280,20787200
32658593,113,1511654455,2147483647,B,1900,brute force-data structures-hashing-strings,flyman3046,Java 8,746,77721600
31963108,113,1509570202,2147483647,B,1900,brute force-data structures-hashing-strings,aminul,Java 8,1058,30515200
