id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
55678043,117,1560771249,2147483647,B,1700,brute force-number theory,vjudge2,Java 8,498,0
55561891,117,1560517684,2147483647,B,1700,brute force-number theory,vjudge1,Java 8,528,0
55561227,117,1560516348,2147483647,B,1700,brute force-number theory,sabernoroozi,Java 8,498,0
55559793,117,1560513706,2147483647,B,1700,brute force-number theory,vjudge1,Java 8,466,0
48606328,117,1547982422,2147483647,B,1700,brute force-number theory,ViciousCoder,Java 8,436,0
42068714,117,1535146501,2147483647,C,2000,dfs and similar-graphs,S010M,Java 8,2026,94412800
40243137,117,1531427864,2147483647,A,1400,implementation-math,hardrug,Java 8,233,0
40151388,117,1531171044,2147483647,E,2800,data structures-divide and conquer-implementation-trees,wleung_bvg,Java 8,1184,16998400
40113910,117,1531142787,2147483647,E,2800,data structures-divide and conquer-implementation-trees,wleung_bvg,Java 8,1560,40857600
39736899,117,1530174597,2147483647,C,2000,dfs and similar-graphs,ViciousCoder,Java 8,1528,94310400
39028391,117,1528393344,2147483647,C,2000,dfs and similar-graphs,kanak893,Java 8,1590,63897600
37564952,117,1524551395,2147483647,B,1700,brute force-number theory,vjudge5,Java 8,1434,20684800
37562904,117,1524539412,2147483647,B,1700,brute force-number theory,Kyrie_,Java 8,1184,20684800
36371381,117,1521319735,2147483647,A,1400,implementation-math,Hazard10,Java 8,763,20787200
32884418,117,1512245597,2147483647,C,2000,dfs and similar-graphs,G.Mohamed,Java 8,1372,95539200
30867056,117,1506776281,2147483647,B,1700,brute force-number theory,MostafaAbdullah,Java 8,560,0
30231433,117,1504979381,2147483647,C,2000,dfs and similar-graphs,lm010,Java 8,1620,95129600
29470925,117,1502761512,2147483647,A,1400,implementation-math,bovinophile,Java 8,748,20684800
27168175,117,1494965325,2147483647,A,1400,implementation-math,pitfall,Java 8,218,0
25588728,117,1489811599,2147483647,A,1400,implementation-math,thainguyenhung,Java 8,654,20377600
25588442,117,1489810317,2147483647,A,1400,implementation-math,steve0hh,Java 8,685,20480000
25574555,117,1489759265,2147483647,A,1400,implementation-math,steve0hh,Java 8,218,20480000
25574380,117,1489758846,2147483647,A,1400,implementation-math,anubhab91,Java 8,218,20480000
25574301,117,1489758623,2147483647,B,1700,brute force-number theory,anubhab91,Java 8,530,20377600
25569847,117,1489748957,2147483647,C,2000,dfs and similar-graphs,steve0hh,Java 8,1246,60928000
25568439,117,1489744109,2147483647,C,2000,dfs and similar-graphs,anubhab91,Java 8,1246,60928000
23257596,117,1482520797,2147483647,C,2000,dfs and similar-graphs,da_201501181,Java 8,1558,102400000
22023140,117,1478208617,2147483647,B,1700,brute force-number theory,Corvus,Java 8,746,0
