id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes,verdict
57948279,1093,1564413357,2147483647,B,900,constructive algorithms-greedy-sortings-strings,mohamedy23,Java 8,1000,0,TIME_LIMIT_EXCEEDED
57932420,1093,1564391573,2147483647,A,700,math,Rohinee136,Java 8,140,0,OK
57928036,1093,1564386438,2147483647,A,700,math,tarek7889,Java 8,108,0,OK
57915791,1093,1564362673,2147483647,B,900,constructive algorithms-greedy-sortings-strings,vvenkai,Java 8,140,0,OK
57839460,1093,1564217197,2147483647,B,900,constructive algorithms-greedy-sortings-strings,vjudge4,Java 8,577,0,OK
57826188,1093,1564197332,2147483647,B,900,constructive algorithms-greedy-sortings-strings,vjudge1,Java 8,436,0,OK
57825030,1093,1564194693,2147483647,B,900,constructive algorithms-greedy-sortings-strings,vjudge2,Java 8,139,0,OK
57740858,1093,1564053914,2147483647,A,700,math,usha5h6,Java 8,124,0,OK
57703677,1093,1563994513,2147483647,A,700,math,fedorizmalkov,Java 8,109,0,OK
57560826,1093,1563841638,2147483647,A,700,math,vvenkai,Java 8,124,0,OK
57500667,1093,1563789737,2147483647,A,700,math,Lenaleol,Java 8,140,0,OK
57453175,1093,1563705021,2147483647,A,700,math,BORONOV_TEAM,Java 8,140,0,OK
57430465,1093,1563669926,2147483647,C,1200,greedy,LLL.A,Java 8,311,27136000,OK
57430264,1093,1563668963,2147483647,C,1200,greedy,LLL.A,Java 8,2000,512000,TIME_LIMIT_EXCEEDED
57430239,1093,1563668797,2147483647,C,1200,greedy,LLL.A,Java 8,2000,0,TIME_LIMIT_EXCEEDED
57375123,1093,1563625082,2147483647,A,700,math,zain025,Java 8,109,0,OK
57320757,1093,1563530065,2147483647,A,700,math,Joao_Ribeiro,Java 8,139,0,OK
57310724,1093,1563517307,2147483647,A,700,math,ummd,Java 8,124,0,OK
57019290,1093,1563109925,2147483647,A,700,math,BerserkVl,Java 8,109,0,OK
56998350,1093,1563067633,2147483647,A,700,math,AllenYe,Java 8,124,0,OK
56856646,1093,1562871040,2147483647,A,700,math,Mahdi.,Java 8,124,0,OK
56813449,1093,1562780306,2147483647,A,700,math,kaiibe,Java 8,124,0,OK
56719290,1093,1562601590,2147483647,B,900,constructive algorithms-greedy-sortings-strings,insane_28,Java 8,109,0,OK
56695065,1093,1562567706,2147483647,D,1600,dfs and similar-graphs,Smurferino,Java 8,654,41984000,OK
56595154,1093,1562353286,2147483647,A,700,math,IBatJ,Java 8,108,0,OK
56548431,1093,1562315937,2147483647,A,700,math,niketan,Java 8,109,0,OK
56548411,1093,1562315916,2147483647,A,700,math,DreamInfinite,Java 8,109,0,OK
56548184,1093,1562315577,2147483647,A,700,math,DreamInfinite,Java 8,1000,0,TIME_LIMIT_EXCEEDED
56547972,1093,1562315230,2147483647,A,700,math,DreamInfinite,Java 8,1000,0,TIME_LIMIT_EXCEEDED
56370672,1093,1561951481,2147483647,C,1200,greedy,hakr2104,Java 8,389,16076800,OK
56370205,1093,1561950205,2147483647,C,1200,greedy,hakr2104,Java 8,2000,0,TIME_LIMIT_EXCEEDED
56341508,1093,1561912640,2147483647,A,700,math,hoang171220001,Java 8,124,0,OK
56305456,1093,1561894295,2147483647,B,900,constructive algorithms-greedy-sortings-strings,beykus,Java 8,140,0,OK
56304729,1093,1561892743,2147483647,B,900,constructive algorithms-greedy-sortings-strings,hadhoryth,Java 8,233,0,OK
56289093,1093,1561846536,2147483647,D,1600,dfs and similar-graphs,vjudge5,Java 8,1091,76902400,OK
56289080,1093,1561846505,2147483647,D,1600,dfs and similar-graphs,rainerh,Java 8,1013,76800000,OK
56192174,1093,1561709551,2147483647,A,700,math,Hazard10,Java 8,109,0,OK
56185265,1093,1561695146,2147483647,A,700,math,Adikprogrammer,Java 8,139,0,OK
56184915,1093,1561693990,2147483647,C,1200,greedy,dsh_bc,Java 8,202,0,OK
56171111,1093,1561653416,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Mahmoud_Bakry_,Java 8,155,0,OK
56170774,1093,1561652765,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Mahmoud_Bakry_,Java 8,451,0,OK
56166388,1093,1561645692,2147483647,A,700,math,tobitherobot,Java 8,139,0,OK
56065215,1093,1561534538,2147483647,A,700,math,fatsoap,Java 8,124,0,OK
56032555,1093,1561458168,2147483647,A,700,math,16bce108,Java 8,155,0,OK
55934811,1093,1561209923,2147483647,A,700,math,beykus,Java 8,124,0,OK
55847119,1093,1561070856,2147483647,A,700,math,AkeenL,Java 8,124,0,OK
55833251,1093,1561039792,2147483647,B,900,constructive algorithms-greedy-sortings-strings,ankyy_0103,Java 8,436,0,OK
55721734,1093,1560872282,2147483647,A,700,math,insane_28,Java 8,109,0,OK
55687953,1093,1560788996,2147483647,A,700,math,Ler4ik,Java 8,124,0,OK
55687828,1093,1560788785,2147483647,A,700,math,Ler4ik,Java 8,124,0,OK
55684426,1093,1560782632,2147483647,A,700,math,Erbolchik,Java 8,139,0,OK
55603195,1093,1560628436,2147483647,B,900,constructive algorithms-greedy-sortings-strings,codered03,Java 8,155,0,OK
55573214,1093,1560544213,2147483647,A,700,math,MohdQaher,Java 8,124,0,OK
55543162,1093,1560462999,2147483647,D,1600,dfs and similar-graphs,hasan5788,Java 8,514,38707200,OK
55117025,1093,1559725691,2147483647,B,900,constructive algorithms-greedy-sortings-strings,GreatWhite,Java 8,124,0,OK
55111189,1093,1559715651,2147483647,A,700,math,wretar,Java 8,109,0,OK
54988414,1093,1559495099,2147483647,C,1200,greedy,Mackenzie,Java 8,857,3072000,OK
54896663,1093,1559359332,2147483647,B,900,constructive algorithms-greedy-sortings-strings,hctep,Java 8,483,0,OK
54888023,1093,1559327538,2147483647,C,1200,greedy,Ikari_stream,Java 8,904,3686400,OK
54702807,1093,1558922731,2147483647,B,900,constructive algorithms-greedy-sortings-strings,bashar99,Java 8,140,0,OK
54696797,1093,1558899197,2147483647,A,700,math,rizqycf27,Java 8,109,0,OK
54633492,1093,1558798869,2147483647,C,1200,greedy,Vishal_dhanani,Java 8,170,0,OK
54631922,1093,1558796014,2147483647,C,1200,greedy,Vishal_dhanani,Java 8,2000,0,TIME_LIMIT_EXCEEDED
54622574,1093,1558789131,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Vishal_dhanani,Java 8,155,0,OK
54622294,1093,1558788681,2147483647,A,700,math,Vishal_dhanani,Java 8,124,0,OK
54618301,1093,1558782496,2147483647,A,700,math,LucasSpindola,Java 8,124,0,OK
54609755,1093,1558781438,2147483647,A,700,math,LucasSpindola,Java 8,1000,0,TIME_LIMIT_EXCEEDED
54609637,1093,1558781256,2147483647,A,700,math,LucasSpindola,Java 8,1000,0,TIME_LIMIT_EXCEEDED
54609428,1093,1558780921,2147483647,A,700,math,LucasSpindola,Java 8,1000,0,TIME_LIMIT_EXCEEDED
54549494,1093,1558685713,2147483647,A,700,math,hctep,Java 8,124,0,OK
54543922,1093,1558673223,2147483647,B,900,constructive algorithms-greedy-sortings-strings,vivek_23,Java 8,109,0,OK
54397906,1093,1558304361,2147483647,F,2500,dp,vjudge2,Java 8,2000,16486400,TIME_LIMIT_EXCEEDED
54392517,1093,1558286463,2147483647,A,700,math,theboringpanda,Java 8,124,0,OK
54384542,1093,1558269428,2147483647,A,700,math,Yash57,Java 8,124,0,OK
54248280,1093,1558021937,2537,C,1200,greedy,Xylenox,Java 8,187,0,OK
54247975,1093,1558021439,2039,D,1600,dfs and similar-graphs,Xylenox,Java 8,467,49254400,OK
54247801,1093,1558021175,1775,D,1600,dfs and similar-graphs,Xylenox,Java 8,2000,50585600,TIME_LIMIT_EXCEEDED
54247676,1093,1558020999,1599,D,1600,dfs and similar-graphs,Xylenox,Java 8,2000,43212800,TIME_LIMIT_EXCEEDED
54246813,1093,1558019779,378,B,900,constructive algorithms-greedy-sortings-strings,Xylenox,Java 8,140,0,OK
54246641,1093,1558019520,120,A,700,math,Xylenox,Java 8,109,0,OK
54175381,1093,1557927651,2147483647,C,1200,greedy,KrisDo,Java 8,982,8089600,OK
54151594,1093,1557881294,2147483647,A,700,math,alipervaiz,Java 8,108,0,OK
54064037,1093,1557750874,2147483647,D,1600,dfs and similar-graphs,Hemose,Java 8,654,51097600,OK
54058857,1093,1557741799,2147483647,D,1600,dfs and similar-graphs,zeyad_khattab,Java 8,654,46489600,OK
54050341,1093,1557690468,2147483647,D,1600,dfs and similar-graphs,O_E,Java 8,654,41369600,OK
54050045,1093,1557689653,2147483647,D,1600,dfs and similar-graphs,O_E,Java 8,2000,16588800,TIME_LIMIT_EXCEEDED
54049788,1093,1557689038,2147483647,D,1600,dfs and similar-graphs,O_E,Java 8,2000,16588800,TIME_LIMIT_EXCEEDED
54002985,1093,1557596369,2147483647,A,700,math,tohirortiqov,Java 8,124,0,OK
53930542,1093,1557422657,2147483647,B,900,constructive algorithms-greedy-sortings-strings,a7o6d98,Java 8,140,0,OK
53834585,1093,1557191064,2147483647,C,1200,greedy,bodziozet,Java 8,1013,0,OK
53812831,1093,1557130262,2147483647,D,1600,dfs and similar-graphs,zmurzagaliev,Java 8,670,58880000,OK
53812759,1093,1557130082,2147483647,D,1600,dfs and similar-graphs,zmurzagaliev,Java 8,2000,58880000,TIME_LIMIT_EXCEEDED
53434396,1093,1556388883,2147483647,D,1600,dfs and similar-graphs,dmey,Java 8,2000,62156800,TIME_LIMIT_EXCEEDED
53433956,1093,1556387831,2147483647,D,1600,dfs and similar-graphs,dmey,Java 8,2000,59289600,TIME_LIMIT_EXCEEDED
53433780,1093,1556387471,2147483647,D,1600,dfs and similar-graphs,dmey,Java 8,2000,30924800,TIME_LIMIT_EXCEEDED
52933120,1093,1555561036,2147483647,B,900,constructive algorithms-greedy-sortings-strings,goalboy,Java 8,186,0,OK
52643742,1093,1555076179,2147483647,B,900,constructive algorithms-greedy-sortings-strings,MrReDoX,Java 8,140,0,OK
52620484,1093,1555017226,2147483647,A,700,math,ahmed1902,Java 8,124,0,OK
52618308,1093,1555011948,2147483647,A,700,math,Yahia_mostafa,Java 8,139,0,OK
52498605,1093,1554735289,2147483647,A,700,math,surfer007,Java 8,93,0,OK
52434697,1093,1554604215,2147483647,C,1200,greedy,Klnsyf_Ego,Java 8,280,0,OK
52373665,1093,1554535313,2147483647,A,700,math,lixunsam,Java 8,124,0,OK
52125599,1093,1554053292,2147483647,C,1200,greedy,vignesh_mj_1997,Java 8,2000,0,TIME_LIMIT_EXCEEDED
52081940,1093,1554035668,2147483647,A,700,math,bondry,Java 8,109,0,OK
51969547,1093,1553859824,2147483647,A,700,math,xpray,Java 8,140,0,OK
51960623,1093,1553841230,2147483647,B,900,constructive algorithms-greedy-sortings-strings,ArmourOfGod,Java 8,109,0,OK
51799546,1093,1553447565,2147483647,B,900,constructive algorithms-greedy-sortings-strings,stolis,Java 8,140,0,OK
51796927,1093,1553442211,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Neeerja,Java 8,140,0,OK
51732992,1093,1553295040,2147483647,D,1600,dfs and similar-graphs,woidjoe,Java 8,1684,60620800,OK
51674249,1093,1553247496,2147483647,D,1600,dfs and similar-graphs,sooraj10,Java 8,810,76185600,OK
51673859,1093,1553246911,2147483647,D,1600,dfs and similar-graphs,dhoni072,Java 8,810,76185600,OK
51669467,1093,1553240190,2147483647,B,900,constructive algorithms-greedy-sortings-strings,akshita00,Java 8,155,0,OK
51593206,1093,1553111698,2147483647,D,1600,dfs and similar-graphs,ajaytank,Java 8,2000,66457600,TIME_LIMIT_EXCEEDED
51593004,1093,1553111347,2147483647,D,1600,dfs and similar-graphs,ajaytank,Java 8,2000,37068800,TIME_LIMIT_EXCEEDED
51583461,1093,1553095291,2147483647,A,700,math,whm04,Java 8,139,0,OK
51442553,1093,1552906341,2147483647,D,1600,dfs and similar-graphs,rohan03,Java 8,2000,0,TIME_LIMIT_EXCEEDED
51427080,1093,1552852757,2147483647,A,700,math,stolis,Java 8,124,0,OK
51391981,1093,1552781373,2147483647,B,900,constructive algorithms-greedy-sortings-strings,tqsx,Java 8,202,0,OK
51390197,1093,1552772574,2147483647,A,700,math,tqsx,Java 8,124,0,OK
51286083,1093,1552548044,2147483647,A,700,math,silentBeginner,Java 8,140,0,OK
51280704,1093,1552534266,2147483647,B,900,constructive algorithms-greedy-sortings-strings,MDSP,Java 8,140,0,OK
51229170,1093,1552404223,2147483647,A,700,math,_Eklasur_Rahman_,Java 8,139,0,OK
51153808,1093,1552296502,2147483647,A,700,math,Yukimoto,Java 8,109,0,OK
51153630,1093,1552296148,2147483647,B,900,constructive algorithms-greedy-sortings-strings,abhi.raj21jan,Java 8,124,38195200,OK
51153290,1093,1552295514,2147483647,A,700,math,Yukimoto,Java 8,108,0,OK
51152994,1093,1552294953,2147483647,A,700,math,Yukimoto,Java 8,108,0,OK
51107714,1093,1552180206,2147483647,B,900,constructive algorithms-greedy-sortings-strings,MahmoudJobeel,Java 8,140,0,OK
51101625,1093,1552159074,2147483647,D,1600,dfs and similar-graphs,lixx336,Java 8,2000,111616000,TIME_LIMIT_EXCEEDED
51101331,1093,1552158584,2147483647,D,1600,dfs and similar-graphs,lixx336,Java 8,2000,111513600,TIME_LIMIT_EXCEEDED
51100946,1093,1552157829,2147483647,D,1600,dfs and similar-graphs,lixx336,Java 8,2000,134758400,TIME_LIMIT_EXCEEDED
51095030,1093,1552147118,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Yahia_mostafa,Java 8,140,0,OK
50924228,1093,1551956480,2147483647,C,1200,greedy,koko3tallah,Java 8,1045,0,OK
50813306,1093,1551780459,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Eraky,Java 8,140,0,OK
50807574,1093,1551767612,2147483647,A,700,math,goalboy,Java 8,124,0,OK
50777511,1093,1551691552,2147483647,A,700,math,Eraky,Java 8,139,0,OK
50519284,1093,1551169731,2147483647,C,1200,greedy,kevinbowie02,Java 8,1107,0,OK
50518994,1093,1551169152,2147483647,C,1200,greedy,kevinbowie02,Java 8,2000,0,TIME_LIMIT_EXCEEDED
50516631,1093,1551163913,2147483647,B,900,constructive algorithms-greedy-sortings-strings,kevinbowie02,Java 8,202,0,OK
50461327,1093,1551030682,2147483647,A,700,math,vjudge2,Java 8,108,0,OK
50424018,1093,1551004435,2147483647,A,700,math,batkhuyag,Java 8,140,0,OK
50327501,1093,1550855342,2147483647,A,700,math,Morsi_destroyed_Pochinki,Java 8,155,0,OK
50302628,1093,1550806709,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Harbin,Java 8,124,0,OK
50302537,1093,1550806378,2147483647,D,1600,dfs and similar-graphs,tiagoss2005,Java 8,639,43212800,OK
50302292,1093,1550805661,2147483647,A,700,math,Harbin,Java 8,109,0,OK
50302273,1093,1550805617,2147483647,A,700,math,Harbin,Java 8,109,0,OK
50301479,1093,1550803014,2147483647,D,1600,dfs and similar-graphs,tiagoss2005,Java 8,654,43212800,OK
50300255,1093,1550799231,2147483647,D,1600,dfs and similar-graphs,tiagoss2005,Java 8,1201,120012800,OK
50299430,1093,1550796018,2147483647,C,1200,greedy,tiagoss2005,Java 8,234,3379200,OK
50298943,1093,1550793646,2147483647,A,700,math,tiagoss2005,Java 8,108,0,OK
50248968,1093,1550679511,2147483647,B,900,constructive algorithms-greedy-sortings-strings,samez,Java 8,124,0,OK
50161364,1093,1550580211,2147483647,B,900,constructive algorithms-greedy-sortings-strings,newheathen,Java 8,452,0,OK
50160186,1093,1550578455,2147483647,B,900,constructive algorithms-greedy-sortings-strings,newheathen,Java 8,1000,0,TIME_LIMIT_EXCEEDED
50101332,1093,1550502258,2147483647,B,900,constructive algorithms-greedy-sortings-strings,ravii_1996,Java 8,155,0,OK
49944001,1093,1550229134,2147483647,A,700,math,cher_code,Java 8,124,0,OK
49941496,1093,1550224418,2147483647,A,700,math,kevinbowie02,Java 8,124,0,OK
49941482,1093,1550224394,2147483647,D,1600,dfs and similar-graphs,ramez,Java 8,638,43315200,OK
49939474,1093,1550220867,2147483647,D,1600,dfs and similar-graphs,ramez,Java 8,2000,43315200,TIME_LIMIT_EXCEEDED
49930556,1093,1550203697,2147483647,B,900,constructive algorithms-greedy-sortings-strings,Quan2202,Java 8,124,0,OK
49880179,1093,1550080036,2147483647,D,1600,dfs and similar-graphs,ISSAM_LAKOUAM,Java 8,982,112025600,OK
49880162,1093,1550080019,2147483647,C,1200,greedy,ISSAM_LAKOUAM,Java 8,218,3379200,OK
49880152,1093,1550080004,2147483647,B,900,constructive algorithms-greedy-sortings-strings,ISSAM_LAKOUAM,Java 8,139,0,OK
49880144,1093,1550079993,2147483647,A,700,math,ISSAM_LAKOUAM,Java 8,139,0,OK
49862495,1093,1550053135,2147483647,D,1600,dfs and similar-graphs,revanthreddy85,Java 8,576,44748800,OK
49861301,1093,1550050698,2147483647,D,1600,dfs and similar-graphs,Happy_Stove,Java 8,811,123187200,OK
49861177,1093,1550050466,2147483647,D,1600,dfs and similar-graphs,Happy_Stove,Java 8,2000,108953600,TIME_LIMIT_EXCEEDED
49858008,1093,1550045427,3627,C,1200,greedy,revanthreddy85,Java 8,202,0,OK
49856461,1093,1550042822,1022,B,900,constructive algorithms-greedy-sortings-strings,revanthreddy85,Java 8,124,0,OK
49856118,1093,1550042228,428,A,700,math,revanthreddy85,Java 8,109,0,OK
49846289,1093,1550008682,2147483647,A,700,math,SITTk,Java 8,109,0,OK
49782614,1093,1549908683,2147483647,D,1600,dfs and similar-graphs,krit_patel,Java 8,1294,113766400,OK
49782286,1093,1549908177,2147483647,D,1600,dfs and similar-graphs,krit_patel,Java 8,2000,93491200,TIME_LIMIT_EXCEEDED
49772777,1093,1549894535,2147483647,C,1200,greedy,krit_patel,Java 8,872,7782400,OK
49770509,1093,1549891727,2147483647,B,900,constructive algorithms-greedy-sortings-strings,krit_patel,Java 8,109,0,OK
49737243,1093,1549821395,2147483647,C,1200,greedy,Pidjak,Java 8,1028,0,OK
49736999,1093,1549821215,2147483647,C,1200,greedy,Pidjak,Java 8,2000,0,TIME_LIMIT_EXCEEDED
49733517,1093,1549816582,2147483647,D,1600,dfs and similar-graphs,gouh9qn,Java 8,2000,0,TIME_LIMIT_EXCEEDED
49729249,1093,1549814091,2147483647,D,1600,dfs and similar-graphs,travm1100,Java 8,1528,39014400,OK
49694411,1093,1549803677,2147483647,A,700,math,mhridoy,Java 8,93,0,OK
49682804,1093,1549773049,2147483647,C,1200,greedy,travm1100,Java 8,436,0,OK
49679256,1093,1549752020,2147483647,D,1600,dfs and similar-graphs,Gr8tor,Java 8,592,45056000,OK
49679066,1093,1549751215,2147483647,D,1600,dfs and similar-graphs,Gr8tor,Java 8,2000,45056000,TIME_LIMIT_EXCEEDED
49678689,1093,1549749614,2147483647,D,1600,dfs and similar-graphs,Gr8tor,Java 8,2000,45056000,TIME_LIMIT_EXCEEDED
49662771,1093,1549717853,2147483647,B,900,constructive algorithms-greedy-sortings-strings,WeedWizard,Java 8,139,0,OK
49625673,1093,1549626702,2147483647,C,1200,greedy,satyajiit,Java 8,1029,0,OK
49620007,1093,1549615837,2147483647,B,900,constructive algorithms-greedy-sortings-strings,ujjman,Java 8,452,0,OK
49555312,1093,1549530902,2147483647,A,700,math,Omar_Tarek,Java 8,124,0,OK
49547743,1093,1549503486,2147483647,D,1600,dfs and similar-graphs,younesbmz,Java 8,717,69017600,OK
49547718,1093,1549503333,2147483647,D,1600,dfs and similar-graphs,younesbmz,Java 8,1278,83456000,OK
49547684,1093,1549503188,2147483647,D,1600,dfs and similar-graphs,younesbmz,Java 8,2000,83456000,TIME_LIMIT_EXCEEDED
49547644,1093,1549502947,2147483647,D,1600,dfs and similar-graphs,younesbmz,Java 8,2000,83148800,TIME_LIMIT_EXCEEDED
49547561,1093,1549502478,2147483647,D,1600,dfs and similar-graphs,younesbmz,Java 8,2000,47206400,TIME_LIMIT_EXCEEDED
49527979,1093,1549456004,2147483647,C,1200,greedy,mannshah27,Java 8,1060,0,OK
49526818,1093,1549453686,2147483647,B,900,constructive algorithms-greedy-sortings-strings,mannshah27,Java 8,530,0,OK
49526234,1093,1549452609,2147483647,A,700,math,mannshah27,Java 8,108,0,OK
49501978,1093,1549381166,2147483647,A,700,math,gboicheff,Java 8,140,0,OK
