id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
53010361,51,1555674586,2147483647,C,1800,binary search-greedy,hongquanntct,Java 8,218,4300800
52301207,51,1554369462,2147483647,A,1300,implementation,newheathen,Java 8,280,0
49494824,51,1549369065,2147483647,A,1300,implementation,MooN13BeaR,Java 8,310,0
47595723,51,1545935028,2147483647,C,1800,binary search-greedy,KulikAlex,Java 8,296,14540800
46184007,51,1543089390,2147483647,C,1800,binary search-greedy,vjudge3,Java 8,296,5120000
46183981,51,1543089284,2147483647,C,1800,binary search-greedy,motawfik,Java 8,295,5120000
45978186,51,1542658219,2147483647,A,1300,implementation,cravuri,Java 8,466,0
43595982,51,1538291245,2147483647,A,1300,implementation,Anonymous,Java 8,342,0
38999141,51,1528300723,2147483647,C,1800,binary search-greedy,unicorn20141,Java 8,264,4812800
38401232,51,1526646644,2147483647,B,1700,expression parsing,ayoubal,Java 8,404,0
36780982,51,1522519280,2147483647,A,1300,implementation,totallynotan,Java 8,310,20684800
34529505,51,1516828829,2147483647,C,1800,binary search-greedy,isofew,Java 8,514,21504000
32667285,51,1511687986,2147483647,B,1700,expression parsing,ashcodish,Java 8,310,20684800
31587703,51,1508622888,2147483647,A,1300,implementation,ashcodish,Java 8,310,20992000
30989663,51,1507113623,2147483647,A,1300,implementation,praveenkulkarni,Java 8,280,0
28426698,51,1499777811,2147483647,C,1800,binary search-greedy,tniks_1994,Java 8,483,21401600
26161546,51,1491448541,2147483647,C,1800,binary search-greedy,poikniok,Java 8,295,21196800
25286064,51,1488788269,2147483647,A,1300,implementation,di_halt,Java 8,248,20582400
24428292,51,1486198657,2147483647,A,1300,implementation,tomdmitriev,Java 8,248,20582400
20755158,51,1474288742,2147483647,A,1300,implementation,slm1712,Java 8,280,0
20755013,51,1474288407,2147483647,A,1300,implementation,Ahmad_Elsagheer,Java 8,280,0
18867761,51,1467550912,2147483647,B,1700,expression parsing,vjudge5,Java 8,436,0
17500900,51,1461545979,2147483647,A,1300,implementation,chrisyhsun,Java 8,342,20889600
16025896,51,1455498793,2147483647,A,1300,implementation,kavsub,Java 7,280,0
15626731,51,1453976479,2147483647,B,1700,expression parsing,alibaba,Java 8,248,0
14848165,51,1450367887,2147483647,A,1300,implementation,ian9696,Java 8,248,0
13228530,51,1443250355,2147483647,B,1700,expression parsing,yona,Java 8,218,0
13228295,51,1443248709,2147483647,B,1700,expression parsing,veeann,Java 7,124,0
12797856,51,1441089511,2147483647,A,1300,implementation,oyy123,Java 8,310,0
12690550,51,1440466026,2147483647,A,1300,implementation,oyy123,Java 8,312,0
12670829,51,1440320666,2147483647,B,1700,expression parsing,cool_handle_much_wow,Java 8,280,0
11332125,51,1432812992,2147483647,B,1700,expression parsing,cool_handle_much_wow,Java 8,280,0
11129812,51,1431894855,2147483647,B,1700,expression parsing,peter31415,Java 7,154,0
11128989,51,1431886181,2147483647,B,1700,expression parsing,peter31415,Java 7,186,0
10775864,51,1429419659,2147483647,A,1300,implementation,poikniok,Java 8,218,28467200
10538017,51,1427855229,2147483647,A,1300,implementation,FabianConP,Java 7,186,0
10538008,51,1427854912,2147483647,A,1300,implementation,Yeison_Garcia,Java 7,156,0
10537943,51,1427853703,2147483647,A,1300,implementation,fabiankasUN,Java 8,218,0
10249988,51,1426180738,2147483647,C,1800,binary search-greedy,AStepanov,Java 8,404,2150400
9741548,51,1423277327,2147483647,A,1300,implementation,TranCongDuy,Java 7,154,0
9279830,51,1419639931,2147483647,B,1700,expression parsing,van_Kalsing,Java 8,248,0
8549534,51,1415119269,2147483647,B,1700,expression parsing,upsolving,Java 7,184,0
8411393,51,1414241148,2147483647,C,1800,binary search-greedy,marcose18,Java 6,1434,512000
8411331,51,1414240862,2147483647,C,1800,binary search-greedy,marcose18,Java 6,1432,409600
8411159,51,1414239635,2147483647,C,1800,binary search-greedy,marcose18,Java 6,1402,409600
8107152,51,1412606108,2147483647,C,1800,binary search-greedy,trilis,Java 7,904,307200
