id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes,verdict
57941891,1056,1564404748,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,hasan5788,Java 8,217,26726400,OK
57940947,1056,1564403657,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,hasan5788,Java 8,1000,30003200,TIME_LIMIT_EXCEEDED
57429834,1056,1563666885,2147483647,A,1000,implementation,jimtm,Java 8,124,0,OK
57429729,1056,1563666362,2147483647,A,1000,implementation,jma-moon,Java 8,109,0,OK
57429498,1056,1563665368,2147483647,A,1000,implementation,marant15,Java 8,139,0,OK
57429323,1056,1563664610,2147483647,A,1000,implementation,A.Teo,Java 8,109,0,OK
57429301,1056,1563664537,2147483647,A,1000,implementation,ImNoob,Java 8,155,0,OK
57429282,1056,1563664458,2147483647,A,1000,implementation,LLL.A,Java 8,109,0,OK
57157551,1056,1563297806,266,A,1000,implementation,Gundaswami,Java 8,108,0,OK
56825608,1056,1562817681,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,FluffyPotato,Java 8,218,17715200,OK
56777700,1056,1562730717,2147483647,B,1600,math-number theory,achang007,Java 8,1000,0,TIME_LIMIT_EXCEEDED
55984233,1056,1561339901,2147483647,A,1000,implementation,hctep,Java 8,171,0,OK
55947476,1056,1561237244,2147483647,A,1000,implementation,bashar99,Java 8,109,0,OK
55511276,1056,1560380638,2147483647,B,1600,math-number theory,puzink,Java 8,140,4608000,OK
55472067,1056,1560281287,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,kareem_fathy,Java 8,841,15872000,OK
55472023,1056,1560281192,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,kareem_fathy,Java 8,826,15974400,OK
55297564,1056,1559990002,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,himanshubhardwaj169,Java 8,249,24780800,OK
55297477,1056,1559989896,2147483647,D,1600,constructive algorithms-dfs and similar-dp-graphs-greedy-sortings-trees,himanshubhardwaj169,Java 8,265,24883200,OK
54547580,1056,1558681698,2147483647,A,1000,implementation,bencebosko,Java 8,124,0,OK
54410843,1056,1558345068,2147483647,B,1600,math-number theory,hasan5788,Java 8,124,0,OK
