id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
53654105,93,1556767618,2147483647,A,1700,implementation,mennafadali,Java 8,248,0
43699521,93,1538502827,2147483647,B,1900,greedy,Ajudiya_13,Java 8,124,0
42473822,93,1536092335,2147483647,B,1900,greedy,KulikAlex,Java 8,140,0
41724361,93,1534528700,2147483647,E,2600,dp-math-number theory,slickunit4265752,Java 8,1496,78028800
41723856,93,1534525264,2147483647,E,2600,dp-math-number theory,slickunit4265752,Java 8,1496,78028800
39420699,93,1529436931,2147483647,A,1700,implementation,KulikAlex,Java 8,280,0
29667340,93,1503345015,2147483647,A,1700,implementation,kunalk,Java 8,342,17305600
29667324,93,1503344945,2147483647,A,1700,implementation,kunal_khatri,Java 8,342,17305600
27979907,93,1498205052,2147483647,A,1700,implementation,tomdmitriev,Java 8,248,20582400
25013880,93,1488029756,2147483647,A,1700,implementation,Kammola,Java 8,248,20582400
24531001,93,1486569493,2147483647,A,1700,implementation,Maduinn,Java 8,374,20889600
24530963,93,1486569376,2147483647,A,1700,implementation,Maduinn,Java 8,342,20889600
24530948,93,1486569333,2147483647,A,1700,implementation,Owowowowowo,Java 8,342,20889600
24524851,93,1486553090,2147483647,A,1700,implementation,0v3rfl0w,Java 8,466,20992000
24521171,93,1486541392,2147483647,A,1700,implementation,IMLadyRed,Java 8,404,20480000
20663909,93,1474042081,2147483647,B,1900,greedy,Ahmad_Elsagheer,Java 8,140,0
20661956,93,1474035920,2147483647,A,1700,implementation,Ahmad_Elsagheer,Java 8,248,0
17697407,93,1462273410,2147483647,B,1900,greedy,alibaba,Java 7,124,39321600
16620340,93,1457540329,2147483647,E,2600,dp-math-number theory,mkirsche,Java 7,1372,79155200
15234924,93,1452246412,2147483647,D,2400,dp-math-matrices,AndreiNet,Java 8,310,0
12904721,93,1441766041,2147483647,E,2600,dp-math-number theory,hama-du,Java 8,1808,140902400
12904699,93,1441765675,2147483647,E,2600,dp-math-number theory,hama-du,Java 8,1902,166912000
12904689,93,1441765499,2147483647,E,2600,dp-math-number theory,hama-du,Java 8,1714,66150400
12896871,93,1441714052,2147483647,D,2400,dp-math-matrices,hama-du,Java 8,966,0
12896813,93,1441713826,2147483647,D,2400,dp-math-matrices,hama-du,Java 8,966,0
12894649,93,1441703263,2147483647,B,1900,greedy,hama-du,Java 8,140,0
12893683,93,1441698811,2147483647,A,1700,implementation,hama-du,Java 8,342,0
10424128,93,1427209094,2147483647,A,1700,implementation,mkirsche,Java 7,186,0
9494721,93,1421857477,2147483647,A,1700,implementation,upsolving,Java 7,156,0
7916286,93,1411448618,2147483647,A,1700,implementation,boldinsv,Java 7,154,0
7604807,93,1409139887,2147483647,B,1900,greedy,Tamtomus,Java 8,404,102400
7502464,93,1408377864,2147483647,A,1700,implementation,owenomar,Java 7,186,0
5759508,93,1390243312,2147483647,A,1700,implementation,alibaba,Java 6,186,0
5037991,93,1384018429,2147483647,C,2400,brute force-implementation,pitfall,Java 7,780,0
4874036,93,1382667400,2147483647,E,2600,dp-math-number theory,alibaba,Java 6,872,59084800
4874032,93,1382667327,2147483647,E,2600,dp-math-number theory,alibaba,Java 6,936,57139200
4874019,93,1382667033,2147483647,E,2600,dp-math-number theory,alibaba,Java 6,872,58982400
4808992,93,1381942720,2147483647,A,1700,implementation,mirianashvili,Java 7,156,0
4165478,93,1374777695,2147483647,D,2400,dp-math-matrices,Phicar,Java 6,78,0
4144280,93,1374636344,2147483647,D,2400,dp-math-matrices,Phicar,Java 6,93,0
3818355,93,1370256158,2147483647,A,1700,implementation,prantor,Java 7,93,0
3402223,93,1364181483,2147483647,A,1700,implementation,rohanp77,Java 6,109,0
3402022,93,1364172041,2147483647,A,1700,implementation,xiaowuc1,Java 6,93,2252800
2161208,93,1347537222,2147483647,B,1900,greedy,Azat_Yusupov,Java 6,140,43929600
2157655,93,1347531710,2810,A,1700,implementation,Azat_Yusupov,Java 6,110,43622400
2104113,93,1347105524,2147483647,A,1700,implementation,vjudge5,Java 6,109,43212800
2103492,93,1347084702,2147483647,A,1700,implementation,vjudge3,Java 6,109,43315200
2036294,93,1345404645,2147483647,A,1700,implementation,AbdelrahmanAsal,Java 6,130,43110400
1950542,93,1343586927,2147483647,B,1900,greedy,Ahmed.Ibrahem,Java 6,140,43622400
1943858,93,1343372415,2147483647,B,1900,greedy,jiangzhijie,Java 7,140,44953600
1723543,93,1338106556,2147483647,A,1700,implementation,vjudge5,Java 6,90,43110400
1626970,93,1335355986,3186,A,1700,implementation,jesful,Java 7,110,44851200
1608430,93,1335078889,2147483647,C,2400,brute force-implementation,Ahmed_Salama,Java 6,1360,44134400
1160558,93,1328847108,2147483647,A,1700,implementation,nin_ten,Java 6,90,43110400
1153885,93,1328548607,2147483647,B,1900,greedy,mostafa_fahim,Java 6,110,43110400
937253,93,1323436443,13990443,A,1700,implementation,mostafa_fahim,Java 6,140,43212800
936688,93,1323413164,13967164,A,1700,implementation,nativea,Java 6,110,43008000
936671,93,1323412398,13966398,A,1700,implementation,nativea,Java 6,110,43008000
839124,93,1320655215,11209215,B,1900,greedy,Sinner,Java 6,130,43212800
724350,93,1316968059,7522059,A,1700,implementation,caustique,Java 6,110,35225600
653272,93,1314781048,5335048,A,1700,implementation,lasten,Java 6,110,35225600
614706,93,1313701042,4255042,A,1700,implementation,Dunaril,Java 6,110,35225600
611566,93,1313374729,3928729,C,2400,brute force-implementation,tux1986,Java 6,110,34918400
602427,93,1313050603,3604603,A,1700,implementation,JoKe,Java 6,130,44748800
588222,93,1312640053,3194053,A,1700,implementation,DoublePointer,Java 6,130,43008000
587030,93,1312571599,3125599,E,2600,dp-math-number theory,xiaowuc1,Java 6,970,176844800
575505,93,1312250398,2804398,B,1900,greedy,vjudge2,Java 6,140,43110400
575472,93,1312248946,2802946,A,1700,implementation,vjudge2,Java 6,160,43110400
562769,93,1311430824,1984824,D,2400,dp-math-matrices,uwi,Java 6,130,43110400
562650,93,1311426169,1980169,E,2600,dp-math-number theory,uwi,Java 6,1390,95948800
550987,93,1311048441,1602441,C,2400,brute force-implementation,islam-al-aarag,Java 6,1250,43008000
545341,93,1310657618,1211618,B,1900,greedy,charleschen,Java 6,110,43008000
544887,93,1310616678,1170678,C,2400,brute force-implementation,charleschen,Java 6,110,34918400
543006,93,1310463368,1017368,D,2400,dp-math-matrices,charleschen,Java 6,90,34918400
542892,93,1310457142,1011142,E,2600,dp-math-number theory,charleschen,Java 6,810,59187200
542634,93,1310422061,976061,D,2400,dp-math-matrices,ostrovski.alex,Java 6,140,43110400
542537,93,1310413344,967344,C,2400,brute force-implementation,ostrovski.alex,Java 6,140,43417600
542401,93,1310406094,960094,C,2400,brute force-implementation,sayuan,Java 6,1660,43110400
531177,93,1310104351,658351,B,1900,greedy,anhdt,Java 6,90,35123200
531175,93,1310104261,658261,B,1900,greedy,anhdt,Java 6,90,35123200
529979,93,1309967381,521381,B,1900,greedy,Jokser,Java 6,90,43008000
529977,93,1309967304,521304,B,1900,greedy,Jokser,Java 6,90,43008000
528003,93,1309788974,342974,A,1700,implementation,Sammarize,Java 6,90,43008000
527850,93,1309781783,335783,A,1700,implementation,kiko91_7,Java 6,130,43008000
526833,93,1309691412,245412,C,2400,brute force-implementation,Slamur,Java 6,270,43110400
525726,93,1309590262,144262,D,2400,dp-math-matrices,S.Yesipenko,Java 6,110,43008000
525716,93,1309589683,143683,D,2400,dp-math-matrices,S.Yesipenko,Java 6,110,43008000
525459,93,1309565623,119623,B,1900,greedy,hejycpu,Java 6,130,43110400
525335,93,1309552090,106090,A,1700,implementation,askhatish,Java 6,110,43008000
525258,93,1309546019,100019,B,1900,greedy,Slamur,Java 6,110,43008000
525248,93,1309545472,99472,B,1900,greedy,shilov,Java 6,110,43110400
525060,93,1309536633,90633,E,2600,dp-math-number theory,shilov,Java 6,1080,131174400
524988,93,1309533843,87843,E,2600,dp-math-number theory,winger,Java 6,690,96972800
524986,93,1309533817,87817,E,2600,dp-math-number theory,winger,Java 6,840,213299200
524944,93,1309532378,86378,A,1700,implementation,Slamur,Java 6,110,43008000
524836,93,1309528365,82365,A,1700,implementation,tunyash,Java 6,130,43110400
524607,93,1309520722,74722,C,2400,brute force-implementation,winger,Java 6,160,43622400
524584,93,1309519373,73373,B,1900,greedy,winger,Java 6,90,35225600
524451,93,1309514309,68309,A,1700,implementation,winger,Java 6,110,35020800
524411,93,1309513134,67134,C,2400,brute force-implementation,S.Yesipenko,Java 6,200,34918400
524388,93,1309512495,66495,A,1700,implementation,Nox,Java 6,90,34816000
524061,93,1309504036,58036,A,1700,implementation,altais,Java 6,90,34918400
523939,93,1309501081,55081,A,1700,implementation,rexim,Java 6,90,34816000
523467,93,1309471647,25647,B,1900,greedy,tehqin,Java 6,110,43008000
523451,93,1309470991,24991,A,1700,implementation,tehqin,Java 6,110,43008000
523445,93,1309470622,24622,A,1700,implementation,Venom,Java 6,130,43110400
523417,93,1309469297,23297,A,1700,implementation,hejycpu,Java 6,110,43008000
523347,93,1309466057,20057,A,1700,implementation,Navigabimus,Java 6,140,43110400
523284,93,1309463704,17704,C,2400,brute force-implementation,uwi,Java 6,140,43110400
523273,93,1309463427,17427,B,1900,greedy,ahmad_mamdouh,Java 6,130,43008000
523036,93,1309458636,12636,B,1900,greedy,sayuan,Java 6,110,43110400
523031,93,1309458538,12538,B,1900,greedy,nickbuelich,Java 6,130,43008000
523027,93,1309458503,12503,A,1700,implementation,nickbuelich,Java 6,130,43008000
523002,93,1309458239,12239,B,1900,greedy,cyon,Java 6,110,43008000
522943,93,1309457678,11678,D,2400,dp-math-matrices,uwi,Java 6,160,43008000
522900,93,1309457329,11329,A,1700,implementation,islam-al-aarag,Java 6,110,43008000
522832,93,1309457018,11018,B,1900,greedy,tunyash,Java 6,110,43110400
522594,93,1309455972,9972,A,1700,implementation,ahmad_mamdouh,Java 6,110,43008000
522576,93,1309455907,9907,B,1900,greedy,TheRaven,Java 6,110,43110400
522321,93,1309455240,9240,B,1900,greedy,yiuyuho,Java 6,130,43008000
522259,93,1309455124,9124,A,1700,implementation,Egor,Java 6,110,43008000
522230,93,1309455075,9075,C,2400,brute force-implementation,yiuyuho,Java 6,230,43212800
522203,93,1309455025,9025,E,2600,dp-math-number theory,S.Yesipenko,Java 6,970,107212800
522202,93,1309455014,9014,D,2400,dp-math-matrices,yaro,Java 6,110,43008000
521870,93,1309452941,6941,A,1700,implementation,TheRaven,Java 6,130,43110400
521824,93,1309452894,6894,C,2400,brute force-implementation,Jokser,Java 6,280,43622400
521786,93,1309452844,6844,A,1700,implementation,Coder,Java 6,130,43110400
521237,93,1309452245,6245,D,2400,dp-math-matrices,Egor,Java 6,90,43008000
521050,93,1309452052,6052,A,1700,implementation,anhdt,Java 6,110,43008000
520622,93,1309451527,5527,B,1900,greedy,kozima,Java 6,110,43008000
520567,93,1309451471,5471,A,1700,implementation,mmaxio,Java 6,90,43008000
520152,93,1309451005,5005,B,1900,greedy,S.Yesipenko,Java 6,110,43008000
520140,93,1309450993,4993,A,1700,implementation,lordklotski,Java 6,110,43110400
520022,93,1309450857,4857,A,1700,implementation,yiuyuho,Java 6,110,43110400
519980,93,1309450793,4793,D,2400,dp-math-matrices,Coder,Java 6,1200,43520000
519947,93,1309450767,4767,B,1900,greedy,Hitrez,Java 6,110,43008000
519697,93,1309450497,4497,B,1900,greedy,VArtem,Java 6,110,43008000
519363,93,1309450118,4118,C,2400,brute force-implementation,VArtem,Java 6,1610,214528000
519067,93,1309449816,3816,B,1900,greedy,lordklotski,Java 6,130,43212800
518647,93,1309449399,3399,B,1900,greedy,islam-al-aarag,Java 6,110,43008000
518437,93,1309449200,3200,B,1900,greedy,mmaxio,Java 6,130,43008000
518217,93,1309448973,2973,C,2400,brute force-implementation,Egor,Java 6,220,43008000
518058,93,1309448820,2820,A,1700,implementation,Hitrez,Java 6,110,43008000
518031,93,1309448792,2792,A,1700,implementation,danbanica,Java 6,110,43008000
517802,93,1309448580,2580,A,1700,implementation,SergeyLazarev,Java 6,110,43008000
517800,93,1309448577,2577,A,1700,implementation,kozima,Java 6,110,43008000
517703,93,1309448489,2489,A,1700,implementation,Jokser,Java 6,110,43008000
517506,93,1309448320,2320,B,1900,greedy,uwi,Java 6,110,43110400
517249,93,1309448114,2114,B,1900,greedy,shevchen,Java 6,110,43008000
517123,93,1309448005,2005,A,1700,implementation,sayuan,Java 6,110,43008000
516875,93,1309447782,1782,B,1900,greedy,niyaznigmatul,Java 6,110,43008000
516159,93,1309447239,1239,A,1700,implementation,shilov,Java 6,110,43008000
516154,93,1309447237,1237,A,1700,implementation,S.Yesipenko,Java 6,110,43008000
516058,93,1309447169,1169,A,1700,implementation,pyshnograev,Java 6,110,43008000
515977,93,1309447103,1103,A,1700,implementation,uwi,Java 6,110,43008000
515897,93,1309447036,1036,B,1900,greedy,Egor,Java 6,110,43008000
515786,93,1309446974,974,A,1700,implementation,niyaznigmatul,Java 6,110,43008000
515459,93,1309446770,770,A,1700,implementation,shevchen,Java 6,130,43008000
