id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57846157,137,1564226132,2147483647,C,1500,sortings,an09mous,Java 8,872,0
57560572,137,1563840655,2147483647,C,1500,sortings,Clowyy,Java 8,372,0
57474723,137,1563741084,2147483647,E,2000,data structures-implementation-strings,TheSawan,Java 8,278,0
57473985,137,1563739094,2147483647,E,2000,data structures-implementation-strings,Zeina_Kandil,Java 8,278,0
57379604,137,1563631359,2147483647,C,1500,sortings,Naman_123,Java 8,374,0
57201019,137,1563371032,2147483647,B,1100,greedy,deepak4669,Java 8,218,0
57126281,137,1563251886,2147483647,B,1100,greedy,santoo1234,Java 8,310,0
57126265,137,1563251846,2147483647,A,1000,implementation,santoo1234,Java 8,280,0
56533650,137,1562276814,2147483647,C,1500,sortings,YahiaSherif,Java 8,372,0
56388816,137,1561981316,2147483647,B,1100,greedy,mennafadali,Java 8,248,0
56161092,137,1561638103,2147483647,C,1500,sortings,samer_ghaly,Java 8,436,0
55986024,137,1561347542,2147483647,B,1100,greedy,paper238498,Java 8,248,0
55981264,137,1561324774,2147483647,E,2000,data structures-implementation-strings,O_E,Java 8,342,5734400
55971254,137,1561301783,2147483647,A,1000,implementation,hctep,Java 8,280,0
55694966,137,1560804912,2147483647,B,1100,greedy,procrastinate7,Java 8,218,0
55416908,137,1560223071,2147483647,C,1500,sortings,saurabhs1206,Java 8,280,0
55411216,137,1560197057,2147483647,C,1500,sortings,MuhamedX,Java 8,342,0
55406076,137,1560184640,2147483647,C,1500,sortings,Mared_Coder,Java 8,342,0
55316207,137,1560031922,2147483647,C,1500,sortings,samer_ghaly,Java 8,404,0
55315327,137,1560028124,2147483647,C,1500,sortings,Khater,Java 8,372,0
55311593,137,1560016821,2147483647,C,1500,sortings,Ahmed_Abdou,Java 8,842,0
55306239,137,1560004620,2147483647,C,1500,sortings,mabubeih,Java 8,342,0
55298489,137,1559991335,2147483647,B,1100,greedy,Ikari_stream,Java 8,248,0
55235463,137,1559895056,2147483647,C,1500,sortings,Hemose,Java 8,374,0
54844695,137,1559222289,2147483647,A,1000,implementation,bencebosko,Java 8,218,0
54319880,137,1558124473,2147483647,C,1500,sortings,adeepgarg13,Java 8,372,0
53205909,137,1556056548,2147483647,C,1500,sortings,zmurzagaliev,Java 8,374,0
52996448,137,1555647222,2147483647,A,1000,implementation,ddelcastillo,Java 8,218,0
52607057,137,1554992300,2147483647,C,1500,sortings,KrisDo,Java 8,872,0
52604870,137,1554989310,2147483647,B,1100,greedy,KrisDo,Java 8,310,0
52528386,137,1554812958,2147483647,B,1100,greedy,khiladir,Java 8,312,0
52361529,137,1554494879,2147483647,A,1000,implementation,adeepgarg13,Java 8,248,0
52325750,137,1554423384,2147483647,A,1000,implementation,vjudge2,Java 8,218,0
52325737,137,1554423294,2147483647,A,1000,implementation,dbetancurth,Java 8,218,0
52325699,137,1554423124,2147483647,A,1000,implementation,vjudge3,Java 8,218,0
52325575,137,1554422551,2147483647,A,1000,implementation,vjudge4,Java 8,218,0
52325261,137,1554421063,2147483647,A,1000,implementation,vjudge1,Java 8,248,0
52325208,137,1554420865,2147483647,A,1000,implementation,vjudge4,Java 8,218,0
52325191,137,1554420793,2147483647,A,1000,implementation,jdtamara,Java 8,248,0
52319777,137,1554404530,2147483647,B,1100,greedy,paliyastrot,Java 8,248,0
52262610,137,1554284539,2147483647,A,1000,implementation,dtrifonov32,Java 8,280,0
52254844,137,1554266763,2147483647,C,1500,sortings,Punit_sharma,Java 8,374,38195200
51941763,137,1553784465,2147483647,B,1100,greedy,ridamnagar11,Java 8,310,0
51839492,137,1553545482,2147483647,C,1500,sortings,Muhamed_Srouji,Java 8,342,0
51804615,137,1553459362,2147483647,B,1100,greedy,chaudhary__jr,Java 8,310,0
51757661,137,1553343470,2147483647,B,1100,greedy,abhi2601,Java 8,248,0
51539631,137,1553018017,2147483647,C,1500,sortings,hashdroid,Java 8,934,0
51249143,137,1552462084,2147483647,C,1500,sortings,Verdusk,Java 8,872,0
50718144,137,1551600409,2147483647,D,1900,dp-strings,hongquanntct,Java 8,622,0
50555184,137,1551252704,2147483647,D,1900,dp-strings,Shadalion,Java 8,560,0
50015237,137,1550337863,2147483647,C,1500,sortings,elkadymohammed01,Java 8,902,0
49619542,137,1549614763,2147483647,B,1100,greedy,vishal.a.burman23,Java 8,248,0
49335991,137,1549045826,2147483647,B,1100,greedy,iitiansam,Java 8,310,0
49206964,137,1548857504,2147483647,C,1500,sortings,deepak4669,Java 8,372,0
49153766,137,1548767180,2147483647,B,1100,greedy,NahlaAfifi,Java 8,310,0
49153462,137,1548766833,2147483647,B,1100,greedy,youssef7agar,Java 8,342,0
48669103,137,1548063633,2147483647,B,1100,greedy,jwk,Java 8,310,0
48567609,137,1547893403,2147483647,B,1100,greedy,napster,Java 8,310,0
48512640,137,1547768835,2147483647,D,1900,dp-strings,Hemose,Java 8,498,0
48512321,137,1547766549,2147483647,D,1900,dp-strings,Mared_Coder,Java 8,466,0
48502853,137,1547741082,2147483647,D,1900,dp-strings,O_E,Java 8,530,0
48364397,137,1547411350,2147483647,D,1900,dp-strings,YahiaBadr,Java 8,748,0
48165109,137,1547077243,2147483647,E,2000,data structures-implementation-strings,amrelmasry,Java 8,434,12595200
48071152,137,1546902766,2147483647,B,1100,greedy,AMosa3d,Java 8,280,0
48067274,137,1546887441,2147483647,C,1500,sortings,AhmedZaghloul,Java 8,374,0
48030063,137,1546775423,2147483647,C,1500,sortings,-f00-,Java 8,404,0
47622287,137,1546003404,2147483647,B,1100,greedy,abhinavverma,Java 8,312,0
47434040,137,1545586962,2147483647,D,1900,dp-strings,vjudge2,Java 8,496,0
47365555,137,1545477361,2147483647,E,2000,data structures-implementation-strings,hongquanntct,Java 8,592,44134400
47365520,137,1545477307,2147483647,E,2000,data structures-implementation-strings,hongquanntct,Java 8,654,44134400
47364455,137,1545475366,2147483647,D,1900,dp-strings,Juniper,Java 8,496,0
45757713,137,1542265669,2147483647,B,1100,greedy,I.A.K.O.V,Java 8,248,0
45757657,137,1542265558,2147483647,B,1100,greedy,I.A.K.O.V,Java 8,248,0
45347732,137,1541480746,2147483647,A,1000,implementation,I.A.K.O.V,Java 8,248,0
45347657,137,1541480552,2147483647,A,1000,implementation,I.A.K.O.V,Java 8,248,0
45154338,137,1541026751,2147483647,A,1000,implementation,f.sarmini94,Java 8,278,0
45148249,137,1541009275,2147483647,C,1500,sortings,aman28rwt,Java 8,372,0
45129940,137,1540979399,2147483647,A,1000,implementation,MHariri,Java 8,278,0
45104159,137,1540912575,2147483647,A,1000,implementation,azooz97,Java 8,280,0
45097162,137,1540902048,2147483647,A,1000,implementation,MariamHaitham,Java 8,280,0
45097118,137,1540901982,2147483647,A,1000,implementation,test-123,Java 8,280,0
44461126,137,1539808543,2147483647,C,1500,sortings,Gaurav_8,Java 8,840,0
44440440,137,1539777216,2147483647,B,1100,greedy,danny2019,Java 8,280,0
44409365,137,1539706098,2147483647,B,1100,greedy,jenish9599,Java 8,218,0
44093944,137,1539207237,2147483647,C,1500,sortings,frenzykryger,Java 8,530,0
43471100,137,1538000019,2147483647,E,2000,data structures-implementation-strings,aabdelzaher,Java 8,778,5017600
43072821,137,1537352009,2147483647,B,1100,greedy,ExplodingFreeze,Java 8,748,0
42872333,137,1536955005,2147483647,B,1100,greedy,sundarcj,Java 8,372,0
42549185,137,1536231728,2147483647,B,1100,greedy,YousseF_Diaa,Java 8,374,0
42465586,137,1536075675,2147483647,B,1100,greedy,MoeAdel,Java 8,372,0
42328422,137,1535788540,2147483647,B,1100,greedy,merna11,Java 8,374,0
41641060,137,1534397540,2147483647,C,1500,sortings,mandark27,Java 8,340,0
41548350,137,1534142900,2147483647,B,1100,greedy,MitAk,Java 8,342,0
41401286,137,1533822626,2147483647,C,1500,sortings,AbdElRahman_Yehya,Java 8,1404,0
41230694,137,1533436940,2147483647,E,2000,data structures-implementation-strings,mennafadali,Java 8,404,0
41222293,137,1533400881,2147483647,C,1500,sortings,cis_pie,Java 8,342,0
41080195,137,1533122559,2147483647,D,1900,dp-strings,Ahmed_Diab,Java 8,686,0
41068093,137,1533067920,2147483647,B,1100,greedy,Ziax,Java 8,278,0
41067313,137,1533066147,2147483647,A,1000,implementation,Ziax,Java 8,248,0
41065737,137,1533062838,2147483647,D,1900,dp-strings,Ziax,Java 8,560,0
40747493,137,1532532783,2147483647,E,2000,data structures-implementation-strings,Ziax,Java 8,780,12288000
40625588,137,1532238691,2147483647,C,1500,sortings,sameer_hack,Java 8,436,0
40615690,137,1532196495,2147483647,B,1100,greedy,skp,Java 8,342,0
