id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57806885,58,1564155079,2147483647,A,1100,greedy-strings,aloushe,Java 8,140,0
57765067,58,1564084267,2147483647,A,1100,greedy-strings,ucb5,Java 8,139,0
57749696,58,1564064504,2147483647,A,1100,greedy-strings,codrex,Java 8,156,0
57749220,58,1564063823,2147483647,A,1100,greedy-strings,vjudge1,Java 8,140,0
57726795,58,1564039473,2147483647,A,1100,greedy-strings,minionsRahat,Java 8,140,0
57700493,58,1563990155,2147483647,A,1100,greedy-strings,vineetvdubey,Java 8,140,0
57604600,58,1563902381,2147483647,A,1100,greedy-strings,piechuckerr,Java 8,139,0
57604153,58,1563901702,2147483647,A,1100,greedy-strings,man8426,Java 8,140,0
57559831,58,1563837125,2147483647,A,1100,greedy-strings,vjudge2,Java 8,109,0
57505816,58,1563796774,2147483647,A,1100,greedy-strings,raicse212012,Java 8,140,0
57478127,58,1563755021,2147483647,A,1100,greedy-strings,vjudge1,Java 8,124,0
57477497,58,1563751637,2147483647,A,1100,greedy-strings,vjudge5,Java 8,109,0
57477494,58,1563751611,2147483647,A,1100,greedy-strings,Smurferino,Java 8,109,0
57476311,58,1563746136,2147483647,A,1100,greedy-strings,vjudge4,Java 8,124,0
57476289,58,1563746073,2147483647,A,1100,greedy-strings,progDer,Java 8,124,0
57474226,58,1563739666,2147483647,B,1300,greedy,ujjwalsingh30,Java 8,218,0
57340043,58,1563559306,2147483647,A,1100,greedy-strings,Aloaa,Java 8,124,0
57337590,58,1563554925,2147483647,A,1100,greedy-strings,Aloaa,Java 8,140,0
57335870,58,1563552161,2147483647,A,1100,greedy-strings,Aloaa,Java 8,140,0
57335759,58,1563552066,2147483647,A,1100,greedy-strings,Aloaa,Java 8,140,0
57335302,58,1563551440,2147483647,A,1100,greedy-strings,Aloaa,Java 8,139,0
57334987,58,1563550984,2147483647,A,1100,greedy-strings,Aloaa,Java 8,140,0
57334431,58,1563550160,2147483647,A,1100,greedy-strings,Aloaa,Java 8,139,0
57334351,58,1563550050,2147483647,A,1100,greedy-strings,Aloaa,Java 8,202,0
57334232,58,1563549866,2147483647,A,1100,greedy-strings,Aloaa,Java 8,217,0
57334129,58,1563549704,2147483647,A,1100,greedy-strings,Aloaa,Java 8,139,0
57334076,58,1563549628,2147483647,A,1100,greedy-strings,Aloaa,Java 8,140,0
57287249,58,1563462484,2147483647,A,1100,greedy-strings,Nishat_Jahan_Nishi,Java 8,140,0
57277558,58,1563449330,2147483647,A,1100,greedy-strings,Mahmoud.Osama,Java 8,109,0
57264932,58,1563432428,2147483647,A,1100,greedy-strings,Codiing,Java 8,124,0
57241848,58,1563385842,2147483647,A,1100,greedy-strings,saranya13,Java 8,139,0
57182344,58,1563349189,2147483647,A,1100,greedy-strings,bogiru,Java 8,140,0
57177385,58,1563343535,2147483647,A,1100,greedy-strings,aravinddesikamani,Java 8,124,0
57175272,58,1563340565,2147483647,A,1100,greedy-strings,ImNoob,Java 8,124,0
57170232,58,1563330744,2147483647,A,1100,greedy-strings,jma-moon,Java 8,155,0
57167053,58,1563321985,2147483647,A,1100,greedy-strings,LLL.A,Java 8,124,0
57091312,58,1563187909,2147483647,A,1100,greedy-strings,offvivek524,Java 8,109,0
57090758,58,1563187184,2147483647,A,1100,greedy-strings,itIsMyName,Java 8,139,0
57066393,58,1563141172,2147483647,A,1100,greedy-strings,banana123,Java 8,139,0
56944370,58,1562964934,2147483647,A,1100,greedy-strings,devkbabarwal,Java 8,171,0
56798232,58,1562764968,2147483647,A,1100,greedy-strings,aarhi,Java 8,155,0
56769851,58,1562705226,2147483647,A,1100,greedy-strings,sarwaswa,Java 8,109,0
56769319,58,1562703866,2147483647,A,1100,greedy-strings,ujjwalsingh30,Java 8,109,0
56727959,58,1562620914,2147483647,A,1100,greedy-strings,Kamal_Rashid,Java 8,139,0
56679563,58,1562520595,2147483647,A,1100,greedy-strings,Akib_2612,Java 8,139,0
56679361,58,1562520184,2147483647,A,1100,greedy-strings,Abdalqader,Java 8,140,0
56663059,58,1562495310,2147483647,A,1100,greedy-strings,Rohinee136,Java 8,155,0
56642117,58,1562468042,2147483647,A,1100,greedy-strings,Nermeen.elgebaly,Java 8,140,0
56606291,58,1562388813,2147483647,A,1100,greedy-strings,RBTamanna,Java 8,124,0
56600758,58,1562370882,2147483647,A,1100,greedy-strings,Rudolf786,Java 8,140,0
56557173,58,1562331428,2147483647,A,1100,greedy-strings,dubey.abhi1001,Java 8,139,0
56529688,58,1562266703,2147483647,A,1100,greedy-strings,ali10,Java 8,124,0
56506896,58,1562230112,2147483647,A,1100,greedy-strings,zaid09,Java 8,140,0
56488848,58,1562184207,2147483647,A,1100,greedy-strings,AllenYe,Java 8,155,0
56431810,58,1562070108,2147483647,A,1100,greedy-strings,abdullah_hany,Java 8,139,0
56424639,58,1562057959,2147483647,A,1100,greedy-strings,LemoNerd,Java 8,140,0
56387357,58,1561979209,2147483647,A,1100,greedy-strings,sumiteshn,Java 8,109,0
56294215,58,1561868762,2147483647,A,1100,greedy-strings,mohamedy23,Java 8,140,0
56278798,58,1561822778,2147483647,A,1100,greedy-strings,deepaktiwari9898,Java 8,140,0
56218640,58,1561716112,2147483647,A,1100,greedy-strings,shubhamm11,Java 8,139,0
56074214,58,1561550640,2147483647,A,1100,greedy-strings,Yekta_sar,Java 8,140,0
56073972,58,1561550195,2147483647,A,1100,greedy-strings,The_Dark_Eagle,Java 8,124,0
56072291,58,1561547183,2147483647,A,1100,greedy-strings,ninja.,Java 8,139,0
56050874,58,1561489291,2147483647,A,1100,greedy-strings,darklordx,Java 8,140,0
56050573,58,1561488633,2147483647,A,1100,greedy-strings,mukkuu,Java 8,140,0
56032922,58,1561458905,2147483647,A,1100,greedy-strings,Gurram_SaiKumar,Java 8,140,0
55967463,58,1561294629,2147483647,B,1300,greedy,shubhampasari,Java 8,310,0
55931136,58,1561203174,2147483647,A,1100,greedy-strings,EJO,Java 8,124,0
55927516,58,1561197569,2147483647,A,1100,greedy-strings,ltuteja7,Java 8,109,0
55927178,58,1561197032,2147483647,A,1100,greedy-strings,adityakaushik99,Java 8,155,0
55907522,58,1561154734,2147483647,A,1100,greedy-strings,kenan-rawashdah,Java 8,140,0
55849162,58,1561081817,2147483647,A,1100,greedy-strings,gnanipasupula,Java 8,124,0
55846037,58,1561066076,2147483647,A,1100,greedy-strings,cantosun,Java 8,155,0
55842607,58,1561056999,2147483647,A,1100,greedy-strings,paridhivijay,Java 8,155,0
55812782,58,1561006381,2147483647,A,1100,greedy-strings,dipika_1388,Java 8,108,0
55810199,58,1561000167,2147483647,A,1100,greedy-strings,Pandabacon,Java 8,139,0
55727864,58,1560883820,2147483647,A,1100,greedy-strings,ujjwal2702,Java 8,171,0
55724875,58,1560877868,2147483647,B,1300,greedy,0Maher0,Java 8,280,0
55709793,58,1560850914,2147483647,A,1100,greedy-strings,Avi_2506,Java 8,109,0
55708671,58,1560848672,2147483647,A,1100,greedy-strings,tobitherobot,Java 8,140,0
55673404,58,1560762064,2147483647,A,1100,greedy-strings,quidnunc,Java 8,124,0
55669228,58,1560752805,2147483647,A,1100,greedy-strings,ddkdd,Java 8,124,0
55655796,58,1560705249,2147483647,A,1100,greedy-strings,Noura98,Java 8,140,0
55606661,58,1560646708,2147483647,A,1100,greedy-strings,DakDak,Java 8,139,0
55597963,58,1560615178,2147483647,A,1100,greedy-strings,ericzyf,Java 8,140,0
