id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
51134493,176,1552231339,2147483647,B,1900,dp,hongquanntct,Java 8,248,0
51134434,176,1552231232,2147483647,B,1900,dp,hongquanntct,Java 8,248,0
49809364,176,1549924182,2147483647,D,2500,dp,Shaykhutdinov-T-I,Java 8,1372,156979200
44495066,176,1539879824,2147483647,C,2000,combinatorics-constructive algorithms,coderbond007,Java 8,280,0
44461556,176,1539809615,2147483647,C,2000,combinatorics-constructive algorithms,coderbond007,Java 8,248,0
41448910,176,1533954573,2147483647,B,1900,dp,vjudge5,Java 8,342,0
39778577,176,1530297688,2147483647,B,1900,dp,unicorn20141,Java 8,280,0
33100061,176,1512990978,2147483647,C,2000,combinatorics-constructive algorithms,zealot97,Java 8,342,20992000
33099324,176,1512988614,2147483647,A,1500,greedy-sortings,zealot97,Java 8,342,21094400
15179825,176,1451903710,2147483647,B,1900,dp,alibaba,Java 8,248,0
15179778,176,1451903429,2147483647,B,1900,dp,alibaba,Java 8,248,0
11121124,176,1431814086,2147483647,B,1900,dp,peter31415,Java 7,154,0
11078325,176,1431435377,2147483647,C,2000,combinatorics-constructive algorithms,A.Elahi,Java 8,280,0
11077131,176,1431427232,2147483647,B,1900,dp,A.Elahi,Java 8,248,0
9991175,176,1424797941,2147483647,D,2500,dp,AlexFetisov,Java 8,1464,157696000
9940074,176,1424451748,2147483647,E,3000,data structures-dfs and similar-trees,AlexFetisov,Java 8,840,14643200
9189887,176,1418922602,2147483647,A,1500,greedy-sortings,alibaba,Java 7,592,0
4322322,176,1377143306,2147483647,B,1900,dp,santjuan,Java 7,186,0
3691795,176,1367965892,2147483647,A,1500,greedy-sortings,santjuan,Java 6,109,0
2947290,176,1358399153,2147483647,B,1900,dp,thesilione,Java 6,93,0
2687292,176,1354469227,2147483647,E,3000,data structures-dfs and similar-trees,Ahmed.Ibrahem,Java 6,890,46796800
2564535,176,1352998968,2147483647,E,3000,data structures-dfs and similar-trees,Ahmed_Salama,Java 6,968,53862400
2555044,176,1352864662,2147483647,A,1500,greedy-sortings,Azat_Yusupov,Java 6,109,0
2254674,176,1348715620,2147483647,B,1900,dp,uwi,Java 6,93,0
2095681,176,1346781420,2147483647,A,1500,greedy-sortings,uwi,Java 7,90,45056000
1837020,176,1340910144,2147483647,B,1900,dp,Ahmed_Salama,Java 6,160,43417600
1630742,176,1335519784,2147483647,A,1500,greedy-sortings,mukku,Java 6,140,43315200
1629746,176,1335454662,2147483647,B,1900,dp,khaled59,Java 6,560,43315200
1629735,176,1335454485,2147483647,B,1900,dp,khaled59,Java 6,970,43315200
1608131,176,1335074874,2147483647,D,2500,dp,hydrastuff,Java 6,1310,93081600
1607352,176,1335037538,2147483647,B,1900,dp,wjomlex,Java 6,1130,43212800
1593116,176,1335003328,2147483647,A,1500,greedy-sortings,khaled59,Java 6,140,43417600
1592049,176,1334956712,2147483647,A,1500,greedy-sortings,peking2,Java 7,170,45056000
1591478,176,1334944332,2147483647,C,2000,combinatorics-constructive algorithms,Abra,Java 7,90,44851200
1591165,176,1334942824,2147483647,D,2500,dp,yarrr,Java 7,1250,157798400
1590842,176,1334941339,7039,C,2000,combinatorics-constructive algorithms,Di735,Java 7,90,44851200
1590808,176,1334941293,6993,D,2500,dp,pashkal,Java 6,940,189132800
1590728,176,1334941178,6878,B,1900,dp,sas4eka,Java 6,90,43212800
1590479,176,1334940820,6520,A,1500,greedy-sortings,Di735,Java 7,110,45056000
1590409,176,1334940704,6404,C,2000,combinatorics-constructive algorithms,abacabadabacaba,Java 7,90,44851200
1590291,176,1334940489,6189,C,2000,combinatorics-constructive algorithms,SkorKNURE,Java 6,90,43315200
1590259,176,1334940431,6131,C,2000,combinatorics-constructive algorithms,EriKKo,Java 6,110,43929600
1590166,176,1334940274,5974,C,2000,combinatorics-constructive algorithms,SpookyCookie,Java 6,90,43110400
1590159,176,1334940266,5966,C,2000,combinatorics-constructive algorithms,fetetriste,Java 6,90,43110400
1590089,176,1334940169,5869,C,2000,combinatorics-constructive algorithms,elizarov,Java 6,140,43212800
1590061,176,1334940123,5823,C,2000,combinatorics-constructive algorithms,wjomlex,Java 6,110,43212800
1589822,176,1334939659,5359,C,2000,combinatorics-constructive algorithms,dalex,Java 6,90,43622400
1589714,176,1334939469,5169,C,2000,combinatorics-constructive algorithms,Jokser,Java 6,90,43212800
1589670,176,1334939383,5083,B,1900,dp,bohuss,Java 6,90,43110400
1589299,176,1334938655,4355,C,2000,combinatorics-constructive algorithms,Sammarize,Java 6,110,43212800
1589202,176,1334938482,4182,B,1900,dp,Abra,Java 7,110,44851200
1589198,176,1334938474,4174,B,1900,dp,hydrastuff,Java 6,130,52019200
1589189,176,1334938454,4154,C,2000,combinatorics-constructive algorithms,vot,Java 6,90,43110400
1589138,176,1334938376,4076,D,2500,dp,abacabadabacaba,Java 7,410,204390400
1589093,176,1334938300,4000,B,1900,dp,dalex,Java 6,130,43724800
1589003,176,1334938165,3865,D,2500,dp,winger,Java 6,1200,77516800
1588805,176,1334937851,3551,B,1900,dp,SpookyCookie,Java 6,110,43315200
1588601,176,1334937541,3241,B,1900,dp,Jokser,Java 6,130,43315200
1588516,176,1334937400,3100,B,1900,dp,fetetriste,Java 6,90,43110400
1588465,176,1334937325,3025,B,1900,dp,AlexanderBolshakov,Java 6,110,43212800
1588395,176,1334937226,2926,B,1900,dp,SkorKNURE,Java 6,1340,43315200
1588362,176,1334937176,2876,B,1900,dp,SergeyLazarev,Java 6,610,43417600
1588298,176,1334937067,2767,A,1500,greedy-sortings,pashkal,Java 6,110,43212800
1588287,176,1334937052,2752,B,1900,dp,winger,Java 6,110,43110400
1588166,176,1334936861,2561,B,1900,dp,EriKKo,Java 6,130,43315200
1588152,176,1334936835,2535,B,1900,dp,yaro,Java 7,110,44851200
1588144,176,1334936823,2523,B,1900,dp,chavit,Java 6,110,43110400
1588094,176,1334936740,2440,B,1900,dp,Sammarize,Java 6,530,43212800
1587879,176,1334936413,2113,C,2000,combinatorics-constructive algorithms,winger,Java 6,390,187289600
1587740,176,1334936226,1926,B,1900,dp,abacabadabacaba,Java 7,130,44953600
1587637,176,1334936087,1787,A,1500,greedy-sortings,knok16,Java 6,90,43212800
1587591,176,1334936026,1726,B,1900,dp,vot,Java 6,130,43110400
1587585,176,1334936017,1717,B,1900,dp,VArtem,Java 6,1160,43212800
1587506,176,1334935914,1614,B,1900,dp,pashkal,Java 6,130,43110400
1587463,176,1334935868,1568,A,1500,greedy-sortings,GeLo,Java 7,160,45056000
1587437,176,1334935835,1535,A,1500,greedy-sortings,EriKKo,Java 6,110,43212800
1587386,176,1334935775,1475,B,1900,dp,niyaznigmatul,Java 6,110,43110400
1587301,176,1334935668,1368,A,1500,greedy-sortings,tanzaku,Java 7,90,45056000
1587295,176,1334935658,1358,A,1500,greedy-sortings,Jokser,Java 6,90,43315200
1587282,176,1334935649,1349,A,1500,greedy-sortings,sas4eka,Java 6,110,43315200
1587278,176,1334935643,1343,A,1500,greedy-sortings,AlexanderBolshakov,Java 6,580,43417600
1587246,176,1334935600,1300,A,1500,greedy-sortings,dalex,Java 6,90,43827200
1587229,176,1334935581,1281,A,1500,greedy-sortings,ArtemKadeev,Java 6,110,43520000
1587218,176,1334935568,1268,A,1500,greedy-sortings,SkorKNURE,Java 6,90,43417600
1587089,176,1334935431,1131,A,1500,greedy-sortings,SpookyCookie,Java 6,90,43315200
1587036,176,1334935361,1061,A,1500,greedy-sortings,twds,Java 6,140,43315200
1587033,176,1334935356,1056,A,1500,greedy-sortings,Sinner,Java 6,110,43212800
1587025,176,1334935342,1042,A,1500,greedy-sortings,chavit,Java 6,110,43212800
1587007,176,1334935326,1026,A,1500,greedy-sortings,ant.ermilov,Java 7,110,44953600
1586988,176,1334935313,1013,A,1500,greedy-sortings,Sammarize,Java 6,140,43315200
1586928,176,1334935248,948,A,1500,greedy-sortings,Slamur,Java 7,110,45568000
1586870,176,1334935175,875,A,1500,greedy-sortings,SergeyLazarev,Java 6,90,43212800
1586863,176,1334935166,866,A,1500,greedy-sortings,vot,Java 6,670,43315200
1586729,176,1334935047,747,A,1500,greedy-sortings,yaro,Java 7,110,45056000
1586728,176,1334935047,747,A,1500,greedy-sortings,elizarov,Java 6,140,43315200
1586698,176,1334935019,719,A,1500,greedy-sortings,wjomlex,Java 6,160,43315200
1586678,176,1334935001,701,A,1500,greedy-sortings,hydrastuff,Java 6,130,43315200
1586668,176,1334934987,687,A,1500,greedy-sortings,fetetriste,Java 6,110,43212800
1586615,176,1334934942,642,A,1500,greedy-sortings,Abra,Java 7,110,44953600
1586594,176,1334934927,627,A,1500,greedy-sortings,yarrr,Java 6,90,43417600
1586512,176,1334934838,538,A,1500,greedy-sortings,abacabadabacaba,Java 7,90,44953600
1586500,176,1334934825,525,A,1500,greedy-sortings,VArtem,Java 6,670,43212800
1586459,176,1334934784,484,A,1500,greedy-sortings,niyaznigmatul,Java 6,90,43212800
1586422,176,1334934747,447,A,1500,greedy-sortings,winger,Java 6,110,43212800
