id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57184864,84,1563351784,2147483647,A,1000,math-number theory,deepak4669,Java 8,218,0
56554563,84,1562327086,2147483647,A,1000,math-number theory,beykus,Java 8,248,0
56530991,84,1562269259,2147483647,B,1400,combinatorics-implementation,MaxHeap,Java 8,278,2048000
56051528,84,1561490741,2147483647,A,1000,math-number theory,mosama2050,Java 8,280,0
55970694,84,1561300626,2147483647,B,1400,combinatorics-implementation,Mohammed_Badawi,Java 8,530,0
55751860,84,1560949965,2147483647,B,1400,combinatorics-implementation,still_the_big_bang,Java 8,278,2048000
55750991,84,1560948296,2147483647,A,1000,math-number theory,still_the_big_bang,Java 8,216,0
55718576,84,1560866512,2147483647,A,1000,math-number theory,bashar99,Java 8,216,0
55682713,84,1560779570,2147483647,A,1000,math-number theory,hctep,Java 8,280,0
55406186,84,1560184882,2147483647,A,1000,math-number theory,foreverlearner,Java 8,248,0
55119685,84,1559730482,2147483647,B,1400,combinatorics-implementation,chojh1222,Java 8,248,0
55112383,84,1559717950,2147483647,B,1400,combinatorics-implementation,chojh1222,Java 8,248,0
55110172,84,1559713588,2147483647,A,1000,math-number theory,theboringpanda,Java 8,280,0
54438032,84,1558422117,2147483647,C,1700,binary search-implementation,chojh1222,Java 8,217,0
54428919,84,1558384636,2147483647,A,1000,math-number theory,vjudge2,Java 8,248,0
54415578,84,1558355023,2147483647,C,1700,binary search-implementation,chojh1222,Java 8,217,0
54397114,84,1558300510,2147483647,C,1700,binary search-implementation,elkadymohammed01,Java 8,327,0
53809597,84,1557120102,2147483647,A,1000,math-number theory,goalboy,Java 8,278,0
53529356,84,1556562635,2147483647,A,1000,math-number theory,c_nirjhor,Java 8,280,0
52914713,84,1555514607,2147483647,A,1000,math-number theory,soumyab,Java 8,280,0
52576730,84,1554914790,2147483647,A,1000,math-number theory,GbadaHamza,Java 8,278,0
51994863,84,1553905471,2147483647,B,1400,combinatorics-implementation,h_elloworl_d,Java 8,248,0
51940814,84,1553783037,2147483647,C,1700,binary search-implementation,Dexter420,Java 8,654,0
51676332,84,1553251376,2147483647,A,1000,math-number theory,vjudge2,Java 8,280,0
51071378,84,1552117659,2147483647,A,1000,math-number theory,ridamnagar11,Java 8,280,0
50821398,84,1551793298,2147483647,A,1000,math-number theory,Ikari_stream,Java 8,218,0
49591618,84,1549552190,2147483647,A,1000,math-number theory,vjudge2,Java 8,280,0
