id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57016555,171,1563105261,2147483647,B,1300,*special-combinatorics,ujjwalsingh30,Java 8,248,0
56997609,171,1563064706,2147483647,B,1300,*special-combinatorics,david_varela,Java 8,280,0
56816667,171,1562787447,2147483647,B,1300,*special-combinatorics,Natali1,Java 8,248,0
56737828,171,1562653051,2147483647,B,1300,*special-combinatorics,natalia18,Java 8,248,0
54515343,171,1558603882,2147483647,A,1200,*special-constructive algorithms,KrisDo,Java 8,218,0
54363726,171,1558221869,2147483647,A,1200,*special-constructive algorithms,osama.bmaq,Java 8,248,0
54018347,171,1557648673,2147483647,A,1200,*special-constructive algorithms,MagedMaher7,Java 8,280,0
53560399,171,1556615331,2147483647,E,2000,*special,luogu_bot1,Java 8,122,0
53099907,171,1555861662,2147483647,F,1700,*special-brute force-implementation-number theory,soumyab,Java 8,342,9523200
52071874,171,1554020008,2147483647,F,1700,*special-brute force-implementation-number theory,di_halt,Java 8,186,3174400
52069337,171,1554015919,2147483647,B,1300,*special-combinatorics,di_halt,Java 8,218,0
52068732,171,1554015002,2147483647,A,1200,*special-constructive algorithms,di_halt,Java 8,218,0
46422419,171,1543618829,2147483647,D,1400,*special-brute force,vktennis,Java 8,278,0
46422346,171,1543618485,2147483647,B,1300,*special-combinatorics,vktennis,Java 8,280,0
46422207,171,1543617734,2147483647,A,1200,*special-constructive algorithms,vktennis,Java 8,280,0
45965468,171,1542634499,2147483647,B,1300,*special-combinatorics,viratK,Java 8,280,0
38957474,171,1528164000,2147483647,A,1200,*special-constructive algorithms,ashcodish,Java 8,312,20992000
36450052,171,1521625133,2147483647,B,1300,*special-combinatorics,FIIAurelian,Java 8,248,20684800
35780556,171,1519811828,2147483647,A,1200,*special-constructive algorithms,CharlesDai,Java 8,248,20684800
35383206,171,1518847695,2147483647,B,1300,*special-combinatorics,c_AG,Java 8,278,20992000
