id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57843519,118,1564222253,2147483647,A,1100,implementation-strings,bartekbp,Java 8,248,0
57837511,118,1564214798,2147483647,D,1800,dp,can_do,Java 8,560,77312000
57837100,118,1564214279,2147483647,D,1800,dp,akshita00,Java 8,560,77312000
57827110,118,1564199636,2147483647,A,1100,implementation-strings,imshivamdwivedi,Java 8,280,0
57809560,118,1564159135,2147483647,A,1100,implementation-strings,hady96,Java 8,280,0
57803760,118,1564150804,2147483647,A,1100,implementation-strings,benjimen_3,Java 8,280,0
57793925,118,1564137682,2147483647,A,1100,implementation-strings,lazyakshay,Java 8,278,0
57779384,118,1564118327,2147483647,A,1100,implementation-strings,CastlyRock,Java 8,248,0
57766126,118,1564086759,2147483647,A,1100,implementation-strings,Bam_Bam,Java 8,248,0
57757749,118,1564073516,2147483647,A,1100,implementation-strings,f20180444,Java 8,280,0
57750609,118,1564065625,2147483647,A,1100,implementation-strings,happygirlzt,Java 8,278,0
57747144,118,1564061235,2147483647,A,1100,implementation-strings,minionsRahat,Java 8,280,0
57746922,118,1564060935,2147483647,D,1800,dp,sameep17264,Java 8,248,0
57736746,118,1564049463,2147483647,A,1100,implementation-strings,yasminqabaha,Java 8,280,0
57732100,118,1564044760,2147483647,A,1100,implementation-strings,siddharthabitla,Java 8,280,0
57704157,118,1563995261,2147483647,A,1100,implementation-strings,Emancs,Java 8,280,0
57641744,118,1563972701,2147483647,A,1100,implementation-strings,shamini_123,Java 8,278,0
57641632,118,1563972563,2147483647,A,1100,implementation-strings,shamini_123,Java 8,278,0
57606439,118,1563905320,2147483647,B,1100,constructive algorithms-implementation,newheathen,Java 8,278,0
57603583,118,1563900842,2147483647,A,1100,implementation-strings,newheathen,Java 8,310,0
57581903,118,1563872970,2147483647,A,1100,implementation-strings,rishicool.a97,Java 8,248,0
57571433,118,1563859498,2147483647,A,1100,implementation-strings,aditya_bits,Java 8,248,0
57560666,118,1563841016,2147483647,A,1100,implementation-strings,RohithSrikanth,Java 8,248,0
57557938,118,1563829763,2147483647,A,1100,implementation-strings,Toqa5,Java 8,248,0
57555842,118,1563824437,2147483647,A,1100,implementation-strings,mohit23,Java 8,278,0
57550328,118,1563815623,2147483647,A,1100,implementation-strings,anandmanohar7,Java 8,248,0
57505740,118,1563796676,2147483647,A,1100,implementation-strings,aloushe,Java 8,248,0
57472246,118,1563735066,2147483647,B,1100,constructive algorithms-implementation,Rohinee136,Java 8,374,0
57427122,118,1563657020,2147483647,A,1100,implementation-strings,ViRioN,Java 8,280,0
57347235,118,1563583103,2147483647,A,1100,implementation-strings,manoharsai987,Java 8,280,0
57322882,118,1563533451,2147483647,A,1100,implementation-strings,raicse212012,Java 8,280,0
57286904,118,1563461971,2147483647,A,1100,implementation-strings,Etch33,Java 8,248,0
57273596,118,1563443611,2147483647,A,1100,implementation-strings,sindhu2000,Java 8,218,0
57272242,118,1563441582,2147483647,A,1100,implementation-strings,raicse212012,Java 8,280,0
57249095,118,1563398184,2147483647,A,1100,implementation-strings,ravi_raja513,Java 8,280,0
57245823,118,1563391259,2147483647,A,1100,implementation-strings,Efat_Azher,Java 8,280,0
57199054,118,1563368957,2147483647,B,1100,constructive algorithms-implementation,Mahmoud.Osama,Java 8,218,0
57193450,118,1563362755,2147483647,A,1100,implementation-strings,Mahmoud.Osama,Java 8,248,0
57191530,118,1563360462,2147483647,A,1100,implementation-strings,arashazariazad,Java 8,280,0
