id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57608023,142,1563908210,2147483647,A,1700,brute force-math,sameer_hack,Java 8,124,0
57607807,142,1563907783,2147483647,A,1700,brute force-math,sameer_hack,Java 8,124,0
55719890,142,1560869005,2147483647,B,1900,constructive algorithms-greedy-implementation,khokharnikunj8,Java 8,218,0
53907166,142,1557408172,2147483647,B,1900,constructive algorithms-greedy-implementation,jagmeet787,Java 8,280,0
52122123,142,1554048875,2147483647,B,1900,constructive algorithms-greedy-implementation,KulikAlex,Java 8,248,0
51999421,142,1553923334,2147483647,B,1900,constructive algorithms-greedy-implementation,saurabh0611,Java 8,280,0
49522691,142,1549444326,2147483647,B,1900,constructive algorithms-greedy-implementation,AJ47,Java 8,248,0
44461396,142,1539809196,2147483647,A,1700,brute force-math,ViciousCoder,Java 8,109,0
43709462,142,1538533343,2147483647,B,1900,constructive algorithms-greedy-implementation,BlackHorror,Java 8,280,0
42493292,142,1536152985,2147483647,B,1900,constructive algorithms-greedy-implementation,spar5h,Java 8,404,0
42331715,142,1535798077,2147483647,B,1900,constructive algorithms-greedy-implementation,ankurdua15,Java 8,278,0
39542184,142,1529759282,2147483647,A,1700,brute force-math,KulikAlex,Java 8,140,0
39354168,142,1529320012,2147483647,A,1700,brute force-math,bluesky111,Java 8,124,0
39026561,142,1528388079,2147483647,B,1900,constructive algorithms-greedy-implementation,dipankar12,Java 8,716,0
38689975,142,1527500510,2147483647,B,1900,constructive algorithms-greedy-implementation,rahulDugar,Java 8,248,0
37739854,142,1525064931,2147483647,A,1700,brute force-math,sfmunera,Java 8,171,21094400
37492333,142,1524239842,2147483647,A,1700,brute force-math,EsraaSalah,Java 8,748,20684800
35465372,142,1519029042,2147483647,B,1900,constructive algorithms-greedy-implementation,aabdelzaher,Java 8,840,105676800
35453848,142,1518977473,2147483647,A,1700,brute force-math,aabdelzaher,Java 8,140,20684800
30164304,142,1504724006,2147483647,D,2600,games,OmarRadwan,Java 8,280,0
27105788,142,1494761967,2147483647,A,1700,brute force-math,pitfall,Java 8,124,0
21614783,142,1476960604,2147483647,A,1700,brute force-math,OmarRadwan,Java 8,124,20275200
21385170,142,1476285163,2147483647,A,1700,brute force-math,Sehnsucht,Java 8,187,21094400
18712569,142,1466821995,2147483647,A,1700,brute force-math,EsraaSalah,Java 7,140,0
18608359,142,1466394028,2147483647,A,1700,brute force-math,alaa_megahed,Java 8,139,0
18596602,142,1466334917,2147483647,A,1700,brute force-math,Kharouba,Java 8,139,0
15137505,142,1451569781,2147483647,B,1900,constructive algorithms-greedy-implementation,p1p13,Java 8,218,0
13485138,142,1444255311,2147483647,B,1900,constructive algorithms-greedy-implementation,AlexFetisov,Java 8,248,0
13485075,142,1444254765,2147483647,C,2300,brute force-dp,AlexFetisov,Java 8,280,0
13484714,142,1444252118,2147483647,D,2600,games,AlexFetisov,Java 8,278,0
12919881,142,1441873132,2147483647,A,1700,brute force-math,dheeraj1995,Java 7,93,0
12232566,142,1437953513,2512,B,1900,constructive algorithms-greedy-implementation,HidenoriS,Java 7,156,0
11073467,142,1431376399,2147483647,B,1900,constructive algorithms-greedy-implementation,poikniok,Java 8,248,0
11071758,142,1431359794,2147483647,A,1700,brute force-math,poikniok,Java 8,124,0
10479043,142,1427403666,2147483647,B,1900,constructive algorithms-greedy-implementation,mkirsche,Java 7,186,0
9238588,142,1419405559,2147483647,A,1700,brute force-math,upsolving,Java 7,140,0
6983908,142,1404107685,2147483647,B,1900,constructive algorithms-greedy-implementation,michael.lam.tan,Java 7,156,0
6983728,142,1404104759,2147483647,A,1700,brute force-math,michael.lam.tan,Java 7,186,0
6542205,142,1399171092,2147483647,C,2300,brute force-dp,nickbuelich,Java 8,404,204800
6541764,142,1399156698,2147483647,B,1900,constructive algorithms-greedy-implementation,nickbuelich,Java 8,280,0
6541756,142,1399156185,2147483647,A,1700,brute force-math,nickbuelich,Java 8,310,0
6140861,142,1395770286,2147483647,A,1700,brute force-math,tomash_em,Java 7,156,0
5496360,142,1387791887,2147483647,A,1700,brute force-math,alibaba,Java 6,156,0
4596664,142,1380362215,2147483647,A,1700,brute force-math,Pshenichnoe,Java 7,186,0
4100819,142,1374174984,2147483647,A,1700,brute force-math,mkirsche,Java 6,124,0
3725413,142,1368668038,2147483647,A,1700,brute force-math,santjuan,Java 7,171,0
2835951,142,1356619582,2147483647,B,1900,constructive algorithms-greedy-implementation,hs484,Java 6,93,0
2821524,142,1356337374,2147483647,A,1700,brute force-math,xiaowuc1,Java 6,93,0
2660066,142,1353940661,2147483647,B,1900,constructive algorithms-greedy-implementation,todo,Java 6,109,0
2660064,142,1353940655,2147483647,A,1700,brute force-math,todo,Java 6,156,0
2555085,142,1352866014,2147483647,B,1900,constructive algorithms-greedy-implementation,Azat_Yusupov,Java 6,78,0
1811572,142,1340222271,2147483647,B,1900,constructive algorithms-greedy-implementation,sroyal,Java 6,160,43315200
1509320,142,1334087356,2147483647,A,1700,brute force-math,Izot_NNSTU,Java 6,110,43110400
1154247,142,1328563687,2147483647,A,1700,brute force-math,peking2,Java 6,140,43110400
1146897,142,1328274799,2147483647,C,2300,brute force-dp,m.radwan,Java 6,1090,57753600
